original,original_token_count,compressed,compressed_token_count,uncompressed_alt_one,uncompressed_alt_two
Where does Delta Lake store the data?,8,,,,
"Classify the cities based on whether they are located in South Georgia and South Sandwich Islands or Dominican Republic.
Santiago, Santo Domingo Este, Santo Domingo, Grytviken",43,,,,
Give me a list of the best true crime podcast to listen to,14,,,,
what are ISO compliant crypto currencies?,8,,,,
Why is Captain America Steve Rogers the leader of the Avengers?,13,,,,
Explain to your 6 year son why its ok to fail few times only to get better later,19,,,,
"Identify which animal species is alive or extinct: Sivatherium, Bowhead Whale",19,,,,
what is typical enterprise sales person comp mix between base and commission?,13,,,,
please tell me about the golden gate bridge without quoting directly from this text,16,,,,
"Based on the following passage, what did Albert Einstein publish in 1905?",16,,,,
"What is ""strokes gained"" in golf?",10,,,,
Which is a species of fish? Boar or Boarfish,14,,,,
last 5 prime minister of India,6,,,,
What is transistor technology?,5,,,,
Tell me about the plot to Harry Potter,8,,,,
In what year did Endless Nights come out?,11,,,,
What kind of disease is wheat mildew,9,,,,
Please give me a comma separated list of the countries that signed the North Atlantic Treaty in April 1949 given the text below,28,,,,
Where is the Kilo railway station,7,,,,
"Classify the Disney movie characters into the movies that they appeared in.
Anna, Mufasa, Kristoff, Nemo, Scar, Simba, Dory",36,,,,
What is the best color ?,7,,,,
"Given this paragraph about Aronia, what is another name for the plant and where were they first cultivated?",22,,,,
What does Thai Songkran festival represents and how many days does it last?,16,,,,
Does Spark support JavaScript?,6,,,,
What are toe beans?,6,,,,
Tell me about the career of David Allen Laycock,10,,,,
What is the Spengler Cup,7,,,,
Give me a list of scientists who influenced the work of Albert Einstein,16,,,,
What kind of bears can you see in the Katmai National Park and Preserve?,19,,,,
How many voyages did Columbus lead to America?,10,,,,
Which country produces the most wine on an annual basis?,11,,,,
How many sinking ships did Violet Jessop survive? Be precise.,17,,,,
"Label each of the following as either a movie or a documentary: RRR, John Wick, Man on Wire, Creed, Our Planet, Tales by Light, Luther, Becoming.",43,,,,
What is a beard?,7,,,,
Extract the different ways of dealing with underfitting mentioned in the text,14,,,,
What is India's rank in Global Gender Gap Index 2022,15,,,,
Who did the French national football team play against in the last 3 matches of the 2018 World Cup and how did the matches turn out?,27,,,,
Was Tyler Thompson a diplomat,6,,,,
Prepare the count of trains which serves Mount Prospect for each day in a week starting with Monday. Use the format “Day-Count” and each entry should be in a new line.,39,,,,
Who won the 1974 Nobel Memorial Prize in Economic Sciences?,11,,,,
"Which of these are most likely to be found in a hotel room: lamp, bed, gerbil, coffee pot, dishwasher, ancient relic?",33,,,,
What are the most common food allergies?,8,,,,
How large are elephant eggs?,6,,,,
What is Star Alliance,4,,,,
My trophy does not fit my suitcase because it is to big.  I need to travel.  What could I do?,23,,,,
Who is the lead singer of the Gorillaz?,11,,,,
Which is the most popular Italian Song Festival,8,,,,
What professional football team play in red and blue and are based in south london?,20,,,,
"Given this paragraph about John C. Young, where did he go to college?",17,,,,
What is Edison famous for?,6,,,,
How can I thicken my soup recipe?,9,,,,
How do you thicken bolognese sauce?,12,,,,
What did Franz Beckenbauer call Bobby Moore?,11,,,,
"What is the difference between a fried egg prepared ""sunny-side-up"" and an egg prepared ""over-easy""?",31,,,,
"In the given text, List down some important points about Pope Adrian V",14,,,,
"From the given text, write some important points about guitar's vibrato system",17,,,,
"Given a reference text about Chadwick, Illinois, tell me median family income and the percent of families below the poverty line.",27,,,,
How does a push rod internal combustion engine work?,11,,,,
When was bowling believed to have been invented?,10,,,,
"Identify which instrument is string or percussion: Tsuzumi, Auto-harp",20,,,,
How can I support a loved one going through anxiety and depression?,14,,,,
Why is standard guitar tuning EADGBE?,10,,,,
What characterizes turbulent flow,6,,,,
"Based on the provided text, In what year did the National Gallery of Ireland open its doors to the public and what kind of art is it known for?",31,,,,
"Based on this paragraph about the early career of John C. Young (pastor), after the resignation of which whom was Young offered the presidency of Centre College in Danville, Kentucky?",38,,,,
Which characters belong to DC or Marvel Universe? Deadpool or Deadstroke,14,,,,
Which is a species of fish? Snapper or Tapper,13,,,,
"Identify the bird from the list: Cockroach, Hawfinch, Humpback whale",21,,,,
What famous surfers have died while surfing?,9,,,,
How do you fix a puncture on a Mountain Bike?,15,,,,
"I have wine tasting plans for the weekend , give me some tips so that I look like an expert",21,,,,
"Extract the retirement age in France, Germany, Sweden, Austria, and Poland for men and women.",20,,,,
Bowling achievements of Andrew Kyle,6,,,,
How to people buy parts for classic cars that are no longer in production?,15,,,,
"If you were to design a pantheon, how many gods or deities would you include?",22,,,,
Extract the theories for why the Mary Celeste was abandoned.,12,,,,
"If you could change one thing about this world, what would it be and why?",17,,,,
What are the futures?,6,,,,
What are agents in the matrix and what is their relationship to sentinels?,16,,,,
What kind of grand prix is the 1932 Australian Grand Prix,12,,,,
How was the San Francisco bay created?,8,,,,
Could you describe who is BNP Paribas (BNPP)?,15,,,,
Find the four eye shapes on Maitum anthropomorphic pottery and separate them with a comma,24,,,,
Can dogs talk?,4,,,,
Give me a list of some US Army training schools,11,,,,
What is a snowball?,7,,,,
"Of the living animal species which have been described, which group has the most?",16,,,,
Extract the names of the islands located on the Central Group of the Azores plateau from the text. Separate them with a comma.,31,,,,
List five titles by Jules Vernes.,9,,,,
When does human life begin?,6,,,,
"Which of these drinks are caffeinated: water, coffee, tea, laptop, orange juice, lemonade, pre workout.",28,,,,
"Give me a list of the best animals one can have for a pet, starting with the best pet first.",24,,,,
What are three popular women's fashion rental services?,11,,,,
How can you take good star photos?,8,,,,
What are the advantages of using a keyboard and mouse for first person shooters when gaming on a PC?,23,,,,
What are the benefits of minimally-invasive orthopedic surgery?,12,,,,
What is the movie The Airzone Solution,8,,,,
What are the best things to do when visiting Los Angeles?,12,,,,
What is the difference between a GPU and a CPU?,13,,,,
How do you juggle?,8,,,,
"distinguish the following famous people as authors and dancers:
Gregory Hines
Danielle Steele
JK Rowling
Lee Child
Patrick Swayze
Martha graham
Leo Tolstoy
Michael Flatly
Paulo Cohelo
Michael Jackson",51,,,,
List the business verticals of Reliance Industries Limited as per the passage. Display the result as a dashed list.,27,,,,
"On a trip to the beach, what can I do to prevent getting sun burned?",18,,,,
What is Hispania,5,,,,
Tell me about the inversion in postcolonial theory,11,,,,
What are all the way one can travel from Boston to Philadelphia,12,,,,
What plants and animals are native to Arches National Park,12,,,,
Think of 5 shades of blue I could paint my room,11,,,,
Which of the following city has the highest historical monuments?,12,,,,
Why would a person from Switzerland immigrate to the California?,14,,,,
"Which is a bird or fish: Blackcap, Black swallower",14,,,,
What are some of the basic investment strategy for a new investor,13,,,,
What year was the movie Big Trouble in Little China released?,12,,,,
Who are the best wide receivers on the San Francisco 49ers?,14,,,,
What is the movie The Fabelmans about?,11,,,,
do successful companies become public?,6,,,,
Explain what is April Fools' Day?,9,,,,
What is the most dangerous spider?,7,,,,
"Identify which car manufacturer is German or American: Maybach, Panoz",16,,,,
Give me some ideas for what to do for a kids Easter party.,15,,,,
What are the primary causes of obesity in the US?,11,,,,
Why pink Floyd is so famous,6,,,,
What was the compelling event that shut down the IRRI station?,14,,,,
Why Kolkata is famous,4,,,,
Who brews Shiner Bock beer?,11,,,,
What is New Zealand's most well-known wine that it produces?,15,,,,
Who are the World Cup champions?,8,,,,
Who is considered the bachelor president of the United States?,11,,,,
Where in the US are the most renowned Pinot Noir wines produced?,14,,,,
"Which characters belong to DC or Marvel Universe? Superman, Thor",13,,,,
What are examples of endocrine disruptors?,12,,,,
What are some of the most efficient programing languages?,11,,,,
Finish the sentence from the book 1984: Big ____ is watching you!,18,,,,
Does EV help address the energy crisis?,9,,,,
"Find the bird in this list: Arctic skua, Monkey, Lily",18,,,,
What is CloudFormation?,7,,,,
Which of the current Girl Scout cookies is based on one of the original Girl Scout cookies?,19,,,,
What is Sea Hear Now,6,,,,
"Classify the cities based on whether they are located in Chile or Antigua and Barbuda.
Concepción, Saint John’s, Santiago, Puente Alto",38,,,,
In what part of the world could you find wild bonobos?,13,,,,
What year did humankind walk on the moon?,10,,,,
"Identify which instrument is string or percussion: Paiban, Fegereng",16,,,,
What is the fastest or speediest animal?,10,,,,
"Given this paragraph about David Bowie, in which decade might you describe his music as having peaked?",21,,,,
Who was the first man to walk on the moon?,11,,,,
What was the most expensive watch ever sold at auction,10,,,,
Why is healthcare so bad in US?,8,,,,
Correct the typos in this sentence,7,,,,
Why was Abraham Lincoln a great President?,9,,,,
How large is South Africa's economy?,9,,,,
What kind of espresso machine is best for home use?,11,,,,
What new car should I buy for my family?,10,,,,
Who is Edgar Allen Poe?,7,,,,
What is a typical day for a software engineer like?,13,,,,
What marks the change from prehistory to  history?,11,,,,
What are three upper body exercises you can do without any weights?,14,,,,
Give me 5 major attractions to see in Berlin,9,,,,
Who is Scarlett Johansson,9,,,,
"From the passage provided, extract the gross earnings of the movie Iron Man",14,,,,
What is the population of St. Paul?,9,,,,
Can you potty train a bunny?,12,,,,
The Gulbenkian Prize for  Humanity was given to whom?,16,,,,
Recommend some good Dreampop music.,10,,,,
"Determine if the following states are East or West of the Mississippi River: Michigan, Georgia, Virginia, Oregon, Colorado, New Jersey, Nebraska, Texas.",32,,,,
What is CJIS?,6,,,,
Why are people so excited about SpaceX?,9,,,,
What is the first name of Stephen Curry?,9,,,,
What is Sogndal?,7,,,,
What's the difference between the weather in California compared to New York,15,,,,
What is a Google Pixel?,7,,,,
What is the plot of Yu-Gi-Oh?,12,,,,
Tell me some important points about AICF from the given passage.,13,,,,
Give me a list of several scenic countries that you should visit.,14,,,,
How comes a free-diver does not get crushed by the pressure when diving?,18,,,,
"You are on vacation and your newborn leaves something behind in the hotel room. Which of the following items would be something your newborn would have left behind: pacifier, blanket, 747 Jet, golf clubs, vodka, milk, iPad, cell phone",51,,,,
What are some of the challenges when walking with crutches?,13,,,,
Who won the 2022 NBA Finals?,9,,,,
"It's your child's birthday, write a message on social media to express your happiness and celebrate their special day",25,,,,
What are some of the most common social norms in the United States?,15,,,,
Where can I find a bristly bellflower in the wild?,15,,,,
In 93rd Academy Awards(Oscar Awards)The Best Picture award was given to whom?,22,,,,
"From the passage provided, extract the year Apache Software Foundation was incorporated on.",16,,,,
Who is the 46th president of the United States?,11,,,,
"What US embassy was abandoned on April 12th, 1975",12,,,,
Why do so many people live along coastlines?,10,,,,
Which Game of Thrones season three episodes were directed by Michelle MacLaren?,15,,,,
give me a list of ways some one can warm up,12,,,,
"Identify which instrument is string or woodwind: Stritch, Zhu",16,,,,
"When was the first idea of mobile phone developed, and was it created or commercialized at that time?",21,,,,
What is IPL T20?,7,,,,
"Which of these countries are in Europe, Asia or both?

Sweden
Russia
Georgia
Kazakhstan
Turkey
India
Austria
Kyrgyzstan
Iran
Italy
Austria",28,,,,
What are transistors made from?,7,,,,
5 best mailing sites,4,,,,
"Find an item from each category bellow that somehow relates to a banana.

place
animal
vehicle
feeling
food
tech
song
movie",25,,,,
"Using the following text, list the top 4 drugs by revenue for Pfizer in 2022?",21,,,,
How do you train for a marathon?,9,,,,
What is Collateral?,5,,,,
What is a spatial network?,7,,,,
Who is the Disney character named Grogu?,9,,,,
Think of a lot of different ways you could tell your roommate about something you need to buy at the store.,24,,,,
"Tell me whether the following politicians are associated with California or Florida: Kamala Harris, Nancy Pelosi, Ron DeSantis, Marco Rubio, Charlie Christ, Diane Feinstein, Gavin Newsom",44,,,,
Who are co-founders of Google?,9,,,,
What are considered some of the hippest cities in the United States?,15,,,,
How to understand or classify Indian film industry?,10,,,,
"Which product is part of the Security & Governance model in Lakehouse and which is used for Datawarehouse in Delta Lake? Unity Catalog, SQL endpoint, Serverless SQL, Storage credential.",41,,,,
Write a polite rejection response to a LinkedIn recruiter,13,,,,
Why is free climbing called free climbing?,8,,,,
What are some sound personal financial practices to employ in the modern economy?,14,,,,
"Which of the following are fruits and which are vegetables, from this list: Tomatoes, Carrots, Onions, Broccoli, Mushrooms, Cauliflower, Cabbage, Chives, Grapes, Sausages?",56,,,,
What can I do at the airport?,8,,,,
Give me the instructions on how to escape a labyrinth,15,,,,
what are capers,4,,,,
"Classify each of the following as either a citrus fruit or non citrus-fruit: apples, pears, watermelons, lemons, clementines, mandarines",38,,,,
"What's the significance of the lighthouse in Virginia Woolf's ""In The Lighthouse?""",21,,,,
Give me 3 ways you can cook eggs,8,,,,
"Given this paragraph about grunge guitarists, what types of amplifiers would typically be preferred?",20,,,,
Give me a list of the best French rugby players ever,12,,,,
"Tell me whether each animal has feathers or hair: falcon, pigeon, chimpanzee, cat, cardinal, hamster, horse",35,,,,
Who is Antonio Jose de Sucre?,8,,,,
What is the legal drinking age?,7,,,,
Who was given EY Entrepreneur of the year award 2020 ?,13,,,,
Make a list of several games I could play with two friends,13,,,,
When did the gallipoli campaign take place?,10,,,,
How many seasons did Shaq have over 30 ppg,12,,,,
What's the capital city of Czechoslovakia?,14,,,,
What are some of the best science fiction movies of all time?,13,,,,
How do I apply for a single-entry e-visa to Uzbekistan as a US citizen for tourism? What potential pitfalls do I need to look out for?,42,,,,
Why did my cookies turn out flat?,8,,,,
"I want to buy a new car. This is a difficult financial decision, but our car is 12 years old. Can you write some reasons I can give to my partner so she's on board with this decision.",46,,,,
Think up different types of places to go for vacation.,11,,,,
What is Chess?,6,,,,
In English do adjectives go before or after nouns they describe?,15,,,,
Extract the stages for portfolio optimization from https://en.wikipedia.org/wiki/Portfolio_optimization,24,,,,
What are some ways to get promoted at your job?,11,,,,
Paul McCartney and John Lennon wrote which Rolling Stones song?,18,,,,
"Given a reference text about Raul Axente Ciupe, tell me what country he is from and what position he played.",30,,,,
What is Beggar's Chicken?,8,,,,
What is a synonym for something which is eco friendly?,12,,,,
Who were fighting each other in this battle and what's the consequence of it,16,,,,
What is type 1 diabetes?,6,,,,
How long does it take me from the city center of Munich to the football stadium?,17,,,,
Why did naatu naatu get oscar for best original song?,22,,,,
What is the capital of Mongolia?,7,,,,
How was Elon Musk involved in Paypal?,9,,,,
Who was Lawrence Grant White?,6,,,,
What are the top semiconductor companies?,7,,,,
From the passage mention the services provided by Jio. Also consider the services to be provided in future. Display the results in comma separated format.,32,,,,
What are some lazy meals I can cook at home?,11,,,,
Why did TSMC choose Arizona for its chip manufacturing,11,,,,
Why do human beings react slow on climate changes?,11,,,,
What are some of the best outdoor experiences in Italy?,11,,,,
What kind of weather do people prefer?,8,,,,
"Name some recurring villains on the TV show ""The X-Files.""",18,,,,
Is breakfast cereal a healthy food choice in the morning?,13,,,,
"From this text, find out the pros and cons of dredging",15,,,,
History of Linux,3,,,,
Name some of the bravolebrities from Below Deck,12,,,,
"If I am traveling from Berkeley to San Francisco, what are the public transit options?",17,,,,
"Tell me whether these are artists or football players: Andy Warhol, Joe Montana, Jackson Pollock, Tom Brady, Mark Rothko.",29,,,,
Who is the best soccer player in the world?,10,,,,
Who is the Cigarette Smoking Man?,10,,,,
Give me some ideas of where I should go on holiday.,12,,,,
why is hydration so important?,8,,,,
What was the Ghazi Attack in Indian subcontinent?,12,,,,
Why is Chicago so windy?,7,,,,
What is Lady Gaga's real name?,10,,,,
When was Lure of the Swamp released?,10,,,,
Share some details about paris city from the given text.,12,,,,
"In The Divergent series by Veronica Roth, what is the name used to refer to people who don't fit into a specific faction?",30,,,,
What are the top graph databases?,7,,,,
Give me an overview of the inspiration of the development of Barbie based on this passage,17,,,,
What is XGBoost Algorithm?,11,,,,
What's a romatic poem about the universe and time?,15,,,,
"Identify which instrument is string or percussion: Makuta, Tricordia",19,,,,
What should I do this spring in San Francisco?,10,,,,
"Group the following into manmade and non-manmade (naturally occurring) items: computer, salt, fence, tree stump, hillock, lightbulb, terracotta planter, snow, wolves, tablecloth, periodicals, museum",53,,,,
Write an email to a butcher asking how much and what types of meats would be best for a BBQ for 20 people. And ask for a quote.,35,,,,
I'm about to leave San Francisco and I love my rickety old apartment. Write it a tribute and make it poetic!,30,,,,
What are the differences between acoustic guitars and classic guitars?,17,,,,
What is COCOMO,5,,,,
How can I treat a cough without medication?,10,,,,
When was the Roman empire founded?,7,,,,
As per the passage whose works did Narendranath study?,15,,,,
Where are good places to go for vacation?,9,,,,
How is the film Merrily We Roll Along being filed?,12,,,,
Where is John Rahm from?,7,,,,
How many people in total were killed or injured in this text?,13,,,,
What are nice things to do for someone on their birthday?,12,,,,
What is Akshardham?,7,,,,
How do I cook basmati rice?,8,,,,
Give me a short summary of the movie Gladiator.,13,,,,
Is crocodile a reptile or an amphibian?,17,,,,
Where is Dieveniskes located,7,,,,
Give me tips on how to stick to habits?,10,,,,
How often should I walk my adult dog?,9,,,,
What does CMWCs stand for?,9,,,,
"Given this reference text about Nintendo, when was it founded?",12,,,,
Are panda bears real bears?,10,,,,
Do you have to get training to go scuba diving?,13,,,,
What are the FAANG companies?,7,,,,
What is alternative rock?,5,,,,
What are the qualities of a good manager?,10,,,,
"Tell me whether these teams have ever won the Champions League: Real Madrid, Manchester United, Manchester City, Liverpool, Paris Saint-Germain",27,,,,
Why is Dungeons and Dragons so popular nowadays?,13,,,,
Name some famous songs by George Gershwin,10,,,,
How is binary search vs other searching schemes?,11,,,,
What are the names of the Stark children's direwolves?,14,,,,
Give me a random bulleted list of ten landlocked countries,15,,,,
"What are five totally distinct, creative ways to describe the usefulness of the government?",17,,,,
What is a stinky slinky?,11,,,,
Name some of the bravolebrities from Summer house,12,,,,
What are the ways you can eat an apple.,11,,,,
when was the Playstation 5 announced?,8,,,,
"Can you help me to categorize these things as either ""expensive"", ""not expensive"", or ""I don't know"": air, gold, rock, rocket and dream.",40,,,,
who is tamil nadu super star ?,14,,,,
How can I find accurate directions between two places?,10,,,,
What do you know about the Fatimid Empire?,11,,,,
"Who sings the song ""Riptide""?",13,,,,
Why was Tingri important for Nepalese people based on the following text?,18,,,,
Which is a bird or fish: Red snapper or Red kite,15,,,,
What is Lorraine,3,,,,
Based on the following passage what is alternating current affected by?,13,,,,
"Classify each of the following as ""Vegetarian Friendly"" or ""Not Vegetarian Friendly"": chicken, peanuts, eggs, bacon, sausage, lettuce, ketchup",40,,,,
"As a 16-year old high school student, write a short summary of your visit to the Vermeer exhibition in the Rijksmuseum.",32,,,,
Give me the list of 'The Lord of the Rings' movie series by Peter Jackson director. Ordered chronologically by the events happening in the series.,34,,,,
Name the vocalists of Vengaboys.,12,,,,
How to remove limescale from showers and taps?,12,,,,
What are some rules of Slack etiquette?,14,,,,
Write a brief passage arguing for the use of genetically modified crops in agriculture.,18,,,,
Who is Sasha? How does her life compare to Becky?,15,,,,
What is the best way to store food?,9,,,,
Please summarize President Joe Biden's statement below.,11,,,,
What role did barrels of benzol play in the explosion of the Mont-Blanc?,21,,,,
"Classify each of the following as a Country, State, or City: Saint Louis, Detroit, Alabama, Washington, Washington D.C., Alaska, Canada, Mexico, Mexico City, Toronto, Florida, Boise",47,,,,
What food is served at a Mexican restaurant?,10,,,,
Which exchanges is RELX listed on?,10,,,,
What is a Haiku?,7,,,,
What is the main difference between decoder only transformer and encoder only transformer?,17,,,,
When was Scarlett Johansson born?,11,,,,
give me a list of counties in Virginia by population,11,,,,
What are the benefits of in-person learning versus online?,13,,,,
Who is the singer of the song I'm So Excited?,14,,,,
What hit song that was used in the Bollywood movie Don actually a reject from an earlier movie.,20,,,,
Is the following state true or false: Peanuts are vegetables?,14,,,,
How does someone win the Tough Guy Contest?,10,,,,
What is the word that suggests the sound that it describes?,12,,,,
Give me a list of the best places in the United States to go skiing,16,,,,
How many quarters do you need to have three dollars?,12,,,,
Why do developers like Agile?,6,,,,
"Identify which animal species is alive or extinct: Nuralagus, Black Spider Monkey",20,,,,
Give me a numbered list of the named characters in the following passage.,16,,,,
How to be a good software engineer?,9,,,,
What is the legal drinking age in the USA?,10,,,,
How do I calm down a toddler when they are having a tantrum?,17,,,,
"Which one of these do not belong to the group:  Tomato, Carrot, Ginger, Potato, Turmeric",23,,,,
Please summarize Sinclair's argument in this paragraph for why longer lifespans will not lead to overpopulation.,23,,,,
Why is American Football popular?,6,,,,
How many books are there in the Harry Potter series?,11,,,,
"Other than Tanki, how many other known Amerindian settlements are on Aruba?",19,,,,
What is considered as  Emma Edmondson's best work as an actress?,16,,,,
Who sold more CDs in 2016 than Beyonce?,12,,,,
"Which of the following are cities in Australia: Sydney, Melbourne, Adelaide, Perth, Canberra, Rio de Janeiro, Beijing, Shanghai, New York, Singapore, Germany, United States, Tokyo",39,,,,
Is it safe to drink water out of a creek?,13,,,,
Why does moon change its shape?,7,,,,
"Which of these programming languages is different from the others : C++, Java, Go, Scala",21,,,,
How many rounds are played in a professional golf tournament?,12,,,,
List some reasons why cats are the best pets.,10,,,,
Which is the most popular sport in India?,9,,,,
How should I go about planning a trip to Europe?,12,,,,
How would you train for a marathon?,9,,,,
"Classify each of the following as flexible or inflexible: gymnast, yoga instructor, steel, rubber, leather, wood",26,,,,
"Classify these various instruments as either percussion or woodwind instruments: flute, clarinet, drum, bassoon, marimba, cymbal",34,,,,
What is the Forever War about?,8,,,,
What is another name for the Great Pyramid in Egypt?,11,,,,
"Tell me whether these Pokemon are fairy or poison type: Clefable, Jigglypuff, Rapidash, Arbok, Nidorino, Zubat",36,,,,
Extract references to electric fish in ancient texts from the following passage.,13,,,,
Why is Stephen A. Smith a great journalist?,11,,,,
Where is located the Roberson Museum and Science Center?,11,,,,
What is the most popular female dog name,8,,,,
"Which is a bird or fish: Yellow-legged gull, Yellowfin tuna",21,,,,
Give me a bulleted list of the 5 most recent UK Prime Ministers,17,,,,
"Given the reference article, Please give marriage date of indian actor Shahrukh Khan",18,,,,
What are the important points about Lunar eclipse in the given text?,14,,,,
"From the passage provided, extract the FAO measurements for hunger. Separate them with a comma.",24,,,,
Who is Brandon Sanderson?,6,,,,
Describe how you planned a father and son high school senior trip,14,,,,
"Given this text about James Pressdee, tell me what sports they played, which awards they won, when they were born, and if they are still alive.",34,,,,
"Tell me what is a good manager and a bad manager: Sympathy, open, democratic, Micro management, always show trust, always show doubt, intimidating",34,,,,
Who does the Navy Cross is awarded to?,9,,,,
What is a metaverse?,7,,,,
"First, it's important to know what your goal is with a bicycle. If you go out with the family, you can choose a regular bicycle, but if you go to use for competition, it is better to choose a more sophisticated carbon fiber bicycle, for gain more performance in races.",63,,,,
I want to plan a vacation in summer. How do I know where I can go?,19,,,,
What's the capital of Brazil?,8,,,,
What is the origin of Flamenco?,9,,,,
How to evaluate an equation with multiple operations?,9,,,,
"What are Calories, and what is the difference between good and bad calories?",17,,,,
How do you know if a chicken breast is fully cooked?,14,,,,
How many episodes of the second season of Game of Thrones did Alan Taylor direct?,16,,,,
What are the most important figures in the passage provided about Singapore? Please provide in bullet points.,19,,,,
"Tell me whether each of these wine regions is in California or Italy: Napa, Sonoma, Healdsburg, Tuscany, Veneto",32,,,,
"Extract the Greek terms in the following paragraph, along with a short definition, in bullet points.",20,,,,
Give me a list of books that are long and hard to read. The sort of books with which I could impress someone who read a lot.,31,,,,
"Given this paragraph, who won the Montenegro presidential elections and how much of the vote did they receive in each runoff round?",28,,,,
"Based on this passage, why is Chris Kuroda's nickname CK5?",18,,,,
What is IFSC?,6,,,,
What are some tools to help combat ADD and ADHD?,12,,,,
"How much more did the house cost than originally planned? Express as an absolute or nominal difference, not as a percentage.",25,,,,
Is the Ironbottom Sound a boardgame,10,,,,
Did the dome last as long as it was designed for?,12,,,,
"Given a reference text about Gaya Island, how many hiking trails and 5 star resorts are on the island?",24,,,,
"Given this text about Battlefield 3 on Wikipedia, what was the included classes you could play as in the game?",23,,,,
Who are the almohad,7,,,,
Which is a species of fish? Marlin or Doberman,15,,,,
What are the national languages of Switzerland?,8,,,,
What is the name of the largest train station in Amsterdam,11,,,,
What is the capital of Georgia?,7,,,,
What are some geographical and topological features of the Bajardo comune described on this text?,20,,,,
"Given a reference text about the Eurovision Song Contest 1987, tell me where it took place, and how many countries participated.",26,,,,
"Given this reference text, how old was Trey Anastasio when he co-founded Phish?",24,,,,
Which two U.S. states don’t observe Daylight Saving Time?,16,,,,
What is Inflation?,6,,,,
Who is best college football coach?,7,,,,
What is the primary source of energy for heating homes in the Northeast United States.,16,,,,
Which names below are more used for boys or girls in 2023,13,,,,
what method of commuting works best to get from Marin County to downtown San Francisco?,19,,,,
"classify each of the following as either a city or a county: usa, mexico, cananda, syracuse, austin, mumbai, japan, tokyo",46,,,,
"Given this paragraph about the Golden Records, tell me what it is, where it is heading, who/when created it.",25,,,,
What are some of the achievements of James Hightower,11,,,,
What are the main impacts to the earth as a result of climate change.,16,,,,
How to get entrance to Istanbul from US?,9,,,,
In total how long was Winston Churchill the Prime Minister of the United Kingdom.,16,,,,
Write a story about a dark and scary night.,12,,,,
What changes needs to be done in H1b lottery process,12,,,,
What were the top 5 best-selling British sports cars manufactured by British Leyland?,17,,,,
What is Lean manufacturing,5,,,,
"Identify which instrument is string or percussion: Atumpan, Axatse, Baryton",22,,,,
What are 5 really good golf ball brands for amateur players,11,,,,
Write a short story about a man who discovers a partially built treehouse.,19,,,,
"Tell me when Silvio Berlusconi was born, how long has he been Prime Minister in Italy and what his nickname is",27,,,,
What kind of animal is the Diaea dorsata,14,,,,
How long does a tennis match take?,9,,,,
What is GeneBass?,6,,,,
How do I pick the best bananas?,9,,,,
From the passage list down the various Gods whom Bhrigu visited. List the results in comma separated format.,26,,,,
"Tell which of these musicians is a guitarist or a bassist:  Eddie Van Halen, Nikki Sixx, Steve Harris, Billy Sheehan, Steve Vai, Joe Satriani, Matthias Jabs, Jimmy Bain, Mick Mars, Vivian Campbell, Angus Young",63,,,,
What is the launch date of Artemis mission?,10,,,,
Retrieve the teams Doug Pederson was affiliated with as a coach,14,,,,
What is the fundamental problem of economics as a discipline?,13,,,,
Lauren is a 32-year-old women who weighs 166 lbs and has never participated in resistance training. She participated in an initial fitness assessment and wants your advice about starting a muscular fitness program at your exercise facility. Design a resistance training routine for Lauren to help her achieve moderate gains in both muscular strength and endurance.,69,,,,
"From the passage provided, extract the names of the co-founders of Hadoop. Separate them with a comma.",29,,,,
What did the note in Hermione's hand say when she was found petrified in Harry Potter and the Chamber of Secrets?,30,,,,
"If I wanted a play games with my computer, what components should I pay attention to?",19,,,,
What is Foreverly?,6,,,,
How many parts were brand new in the Porsche 993?,12,,,,
Do you know how many episodes of Game of Thrones are there?,13,,,,
Can you extract the 5 most important characteristics of the moon from this literature in a single paragraph?,20,,,,
How many Children Trump has?,6,,,,
What are the administrative divisions in Morocco ?,10,,,,
Give me a list of the last ten Grammy Award for Best New Artist winners.,18,,,,
"My coffee tastes too acidic, what can I do to balance it out?",16,,,,
Which movie(s) inspired the 2019 DC comic movie Joker?,14,,,,
What does the Horse Statue in Ground Zero Represent?,13,,,,
What is Chinese Eduction System like?,8,,,,
Write a poem about a cat owner who gets transported to a parallel universe where highly advanced cats keep humans as pets.,26,,,,
On a golf course where are the holes?,10,,,,
What is the best Engineering college in Bangalore?,9,,,,
Are Air Fryers safe to use?,9,,,,
What is the largest employer in the world?,9,,,,
How do I make a custom-shaped rug?,11,,,,
"Identify which car manufacturer is Italian or American: Lamborghini, Chrysler",16,,,,
What books has David Duchovny written?,11,,,,
What is audit in finance?,6,,,,
Why india is so Poor Country,6,,,,
What sports can I play in Summer?,8,,,,
What is the “yacht rock” genre of music?,13,,,,
What is an API gateway?,6,,,,
What are some of the languages spoken in India?,10,,,,
What are 5 fitness tips that will help me lose weight,11,,,,
What towns make up Cape Ann?,7,,,,
"From the passage provided, how old was Betty White when she died?",15,,,,
"Categorize the below in terms of avocado or apple types.
Hass, Fuerte, Zutano, Fuji, Gala",30,,,,
What is a dam?,6,,,,
"Tell me about Reno, Nevada.",8,,,,
Fidelity Bravery Integrity is which organisations motto,12,,,,
What is primary innovation that a piano delivered over a harpsichord?,20,,,,
Show me the current P4P boxer ratings in the world,13,,,,
What is the biggest land mammal?,9,,,,
