"original","summarization","original_token_count","compression_token_count","compression_ratio"
"What is Aerial Yoga","What is aerial yoga","5","4","0.8"
"List 10 best switch games of all time.","List 10 best switch games ever.","10","8","0.8"
"How did Kdramas become so popular?","How did Kdramas become so popular?","9","9","1.0"
"Tell me about the Schoenbrunn Palace","Schoenbrunn Palace overview.","9","8","0.89"
"With the rise of large language models, ChatGPT has changed the way many people work, and AI is getting more and more powerful. Will it eventually replace humans?","As LLMs rise and ChatGPT reshapes work, will AI replace humans?","33","17","0.52"
"Please give me a short bulleted list of the principal fields of engineering","Bullet list: principal engineering fields.","14","7","0.5"
"Please give me a list of popular street foods available in South Korea","List popular street foods in South Korea.","13","8","0.62"
"Why do people like sports?","Why do people like sports?","6","6","1.0"
"From the passage note down the various themes on which Harry Potter series is based upon. List the results in comma separated format.","From the passage, list the themes the Harry Potter series is based on; comma-separated.","25","18","0.72"
"In the series A Song of Ice and Fire, who is the founder of House Hightower?","Who founded House Hightower in ASOIAF?","20","12","0.6"
"What is Genetics?","Genetics?","4","3","0.75"
"What are the words of House Frey?","House Frey motto?","9","5","0.56"
"It really depends on where you will ride the bicycle, how often you will use it, if the bicycle be used for competing or pleasure and your body type. One more thing to consider will be the budget you want to invest for the bicycle.","Bicycle choice depends on riding location, frequency of use, purpose (competition vs. pleasure), body type, and budget.","49","25","0.51"
"Classify each of the following as ""Can Fly"" or ""Can't Fly"": Kite, bird, dog, plane, car, scooter","Classify as Can Fly or Can't Fly: Kite, bird, dog, plane, car, scooter","27","20","0.74"
"Tell me if these are brands or companies: Kleenex, Procter & Gamble, Cadillac, Doritos, Chase?","Tell me if these are brands or companies: Kleenex, Procter & Gamble, Cadillac, Doritos, Chase?","25","25","1.0"
"Given this paragraph about composer Arvo Pärt, tell me where and when he studied composition and with which teacher.","Given this paragraph about composer Arvo Pärt, tell me where and when he studied composition and with which teacher.","23","23","1.0"
"What are the words of House Royce?","House Royce motto?","8","4","0.5"
"Who is Mother Teresa?","Who is Mother Teresa?","5","5","1.0"
"Classify each of the following animal as a carnivore, omnivore or herbivore: tiger, bear, giraffe, wolverine, elephant, monkey","Classify tiger, bear, giraffe, wolverine, elephant, monkey as carnivore/omnivore/herbivore.","32","26","0.81"
"Give me a list of amazing noise cancelling headphones in 2023","List amazing noise-cancelling headphones, 2023.","13","12","0.92"
"Categorize each of the vehicles as a car, truck, or van: Tesla Model 3, Ford F150, Chevy Silverado, Toyota Sienna, Honda Odyssey, Toyota Tacoma, Dodge Dart","Classify as car, truck, or van: Tesla Model 3; Ford F150; Chevy Silverado; Toyota Sienna; Honda Odyssey; Toyota Tacoma; Dodge Dart","39","34","0.87"
"Who is Rihanna?","Rihanna?","4","3","0.75"
"What is the Genomie Aggregation Databaise (genomAD)?","What is gnomAD (Genome Aggregation Database)?","15","11","0.73"
"Where was the first publicly funded civil park?","First publicly funded civil park location?","9","7","0.78"
"From the text, provide me with the number of medals Michael Phelps won in the 2016 olympics. Separate them in bullet points by number of gold, silver and bronze medals won.","From the text, provide Michael Phelps' 2016 Olympic medal counts, in bullet points by gold, silver, bronze.","39","26","0.67"
"The girl was wearing a red dress whilst her friend was wearing a white dress. What colour dress was the girl wearing?","The girl wore a red dress; her friend wore a white dress. What colour was the girl's dress?","24","21","0.88"
"Identify which animal is domesticated or wild: Horse, Red deer","Domesticated or wild: Horse, Red deer","13","10","0.77"
"Is it important to have friends?","Are friends important?","7","4","0.57"
"Why are the Green Bay Packers called the Packers?","Why are the Green Bay Packers called Packers?","10","9","0.9"
"How do I find the best interior decorator and best price?","Find best interior decorator and best price.","12","8","0.67"
"Can you use logistic regression and linear regression methods interchangeably? If yes, in what scenarios?","Can logistic and linear regression be used interchangeably? If yes, in which scenarios?","19","17","0.89"
"Identify which instrument is string or woodwind: Zither, Khlui","Zither: string; Khlui: woodwind","15","11","0.73"
"What’s the official language in Brazil?","Official language of Brazil?","8","5","0.62"
"Please describe what combat was like in World War I","Describe World War I combat.","10","6","0.6"
"What are some common types of snake plants?","Snake plant varieties?","9","4","0.44"
"Identify which animal species is alive or extinct: Thylacosmilus, Swift Fox","Alive or extinct: Thylacosmilus, Swift Fox","17","12","0.71"
"What are the main reasons for the price of a good increasing or decreasing in a capitalist society.","Main drivers of a good price change in a capitalist economy.","19","12","0.63"
"What does BMW stand for?","BMW stands for what?","6","5","0.83"
"Which is a species of fish? Velvetfish or Cotton","Which is a species of fish? Velvetfish or Cotton","11","11","1.0"
"Give me a few different ways to reduce my household electricity bill.","List several ways to lower household electricity bill.","13","9","0.69"
"What were Atari gaming consoles?","Atari gaming consoles?","6","5","0.83"
"Classify the names of the Presidents based on their country.
Droupadi Murmu, Ram Nath Kovind, A. P. J. Abdul Kalam, Ranil Wickremesinghe","Classify presidents by country: Droupadi Murmu, Ram Nath Kovind, A. P. J. Abdul Kalam, Ranil Wickremesinghe","39","33","0.85"
"Classify which colors are shades or red or purple: Violet, burgundy, lavender, brick, lilac, plum, rust, orchid, maroon, ruby, cardinal, fire-engine","Classify which colors are shades or red or purple: Violet, burgundy, lavender, brick, lilac, plum, rust, orchid, maroon, ruby, cardinal, fire-engine","38","38","1.0"
"Give me a good french wine with cheese","Give me a good french wine with cheese","8","8","1.0"
"Who was the Italian dictator responsible for introducing fascism to Italy and joining the Axis in World War 2?","Who was the Italian dictator who introduced fascism to Italy and joined the Axis in World War 2?","22","21","0.95"
"From given text, Please jot down some points about Richard D. Young","From text, list some points about Richard D. Young.","14","12","0.86"
"Provide few tips and techniques for Partner Ecosystem Enablement","Few tips and techniques for Partner Ecosystem Enablement","11","10","0.91"
"Does Irina Korzhanenko still have her gold medal?","Does Irina Korzhanenko still have her gold medal?","14","14","1.0"
"Based on the paragraph below, what are some key elements to consider in designing an OLTP system?","From the paragraph below, list key OLTP design elements.","20","12","0.6"
"Who is the best soccer player of all time?","Best soccer player ever?","10","5","0.5"
"How to plan a Lakehouse migration journey?","Plan a Lakehouse migration journey.","9","7","0.78"
"What are some games you can play in the middle of nature and a bunch of people?","Suggest outdoor group games for large groups in nature.","18","10","0.56"
"Given the current banking crisis we are experiencing, is this a redux of the 2008 crisis?","Is this banking crisis a redux of 2008?","20","11","0.55"
"Classify the following as a 'triangle' or 'not a triangle' - equilateral, isosceles, right angled, circle, sphere, scalene, rectangle, square, trapezium.","Classify as triangle or not: equilateral, isosceles, right angled, circle, sphere, scalene, rectangle, square, trapezium.","42","33","0.79"
"Hindi Diwas is observed every year on which date?","Hindi Diwas observed on which date annually?","11","9","0.82"
"List the Pixar movies that were nominated for Academy Awards but did not win.","List Pixar films that were Oscar-nominated but did not win.","15","13","0.87"
"What are the best superhero movies of 2022 ?","Best superhero movies of 2022?","11","8","0.73"
"Marburg Virus Disease belongs to the same family as","Marburg Virus Disease belongs to the same family as","10","10","1.0"
"Please extract the characteristics of a desert from this passage and list in bullet format.","Extract desert characteristics from this passage; list as bullets.","16","11","0.69"
"From the following list, categorize the what country these dishes originate from: Tamales, Butter Chicken, Mac and Cheese, Pizza, Pozole, Nicoise Salad, Ramen, Trifle, Empanadas, Ceviche, Feijoda, Burrito, Jollaf Rice, Tagine, Couscous","List country of origin for these dishes: Tamales, Butter Chicken, Mac and Cheese, Pizza, Pozole, Nicoise Salad, Ramen, Trifle, Empanadas, Ceviche, Feijoda, Burrito, Jollaf Rice, Tagine, Couscous","65","59","0.91"
"Who was chairman of the board of directors of Tesla as of March 2004?","Tesla chairman of the board as of March 2004?","17","12","0.71"
"From the text below about the history of peanut butter, where can the first reference be traced from?","From the text below on peanut butter history, where is the first reference traced from?","20","17","0.85"
"What is vanlife?","Define vanlife.","5","4","0.8"
"Which golf tournaments are considered majors in the PGA?","Which PGA majors?","10","4","0.4"
"How many slices are in a large pizza?","How many slices in a large pizza?","9","8","0.89"
"Given this paragraph about magnesium, what is the element symbol of magnesium?","From this magnesium paragraph, what's magnesium's symbol?","14","10","0.71"
"Are they communist countries: Afghanistan, Albania, Algeria, Andorra, Angola, Antigua and Barbuda, Argentina, Armenia, Australia, Austria, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belgium, Belize, Benin, Bhutan, Bolivia, Bosnia and Herzegovina, Botswana, Brazil, Brunei, Bulgaria, Burkina Faso, Burundi, Côte d'Ivoire, Cabo Verde, Cambodia, Cameroon, Canada, Central African Republic, Chad, Chile, China, Colombia, Comoros, Congo (Congo-Brazzaville), Costa Rica, Croatia, Cuba, Cyprus, Czechia (Czech Republic), Democratic Republic of the Congo, Denmark, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Estonia, Eswatini , Ethiopia, Fiji, Finland, France, Gabon, Gambia, Georgia, Germany, Ghana, Greece, Grenada, Guatemala, Guinea, Guinea-Bissau, Guyana, Haiti, Holy See, Honduras, Hungary, Iceland, India, Indonesia, Iran, Iraq, Ireland, Israel, Italy, Jamaica, Japan, Jordan, Kazakhstan, Kenya, Kiribati, Kuwait, Kyrgyzstan, Laos, Latvia, Lebanon, Lesotho, Liberia, Libya, Liechtenstein, Lithuania, Luxembourg, Madagascar, Malawi, Malaysia, Maldives, Mali, Malta, Marshall Islands, Mauritania, Mauritius, Mexico, Micronesia, Moldova, Monaco, Mongolia, Montenegro, Morocco, Mozambique, Myanmar (formerly Burma), Namibia, Nauru, Nepal, Netherlands, New Zealand, Nicaragua, Niger, Nigeria, North Korea, North Macedonia, Norway, Oman, Pakistan, Palau, Palestine State, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Poland, Portugal, Qatar, Romania, Russia, Rwanda, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Samoa, San Marino, Sao Tome and Principe, Saudi Arabia, Senegal, Serbia, Seychelles, Sierra Leone, Singapore, Slovakia, Slovenia, Solomon Islands, Somalia, South Africa, South Korea, South Sudan, Spain, Sri Lanka, Sudan, Suriname, Sweden, Switzerland, Syria, Tajikistan, Tanzania, Thailand, Timor-Leste, Togo, Tonga, Trinidad and Tobago, Tunisia, Turkey, Turkmenistan, Tuvalu, Uganda, Ukraine, United Arab Emirates, United Kingdom, United States of America, Uruguay, Uzbekistan, Vanuatu, Venezuela, Vietnam, Yemen, Zambia, Zimbabwe","Are they communist countries: Afghanistan, Albania, Algeria, Andorra, Angola, Antigua and Barbuda, Argentina, Armenia, Australia, Austria, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belgium, Belize, Benin, Bhutan, Bolivia, Bosnia and Herzegovina, Botswana, Brazil, Brunei, Bulgaria, Burkina Faso, Burundi, Côte d'Ivoire, Cabo Verde, Cambodia, Cameroon, Canada, Central African Republic, Chad, Chile, China, Colombia, Comoros, Congo (Congo-Brazzaville), Costa Rica, Croatia, Cuba, Cyprus, Czechia (Czech Republic), Democratic Republic of the Congo, Denmark, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Estonia, Eswatini , Ethiopia, Fiji, Finland, France, Gabon, Gambia, Georgia, Germany, Ghana, Greece, Grenada, Guatemala, Guinea, Guinea-Bissau, Guyana, Haiti, Holy See, Honduras, Hungary, Iceland, India, Indonesia, Iran, Iraq, Ireland, Israel, Italy, Jamaica, Japan, Jordan, Kazakhstan, Kenya, Kiribati, Kuwait, Kyrgyzstan, Laos, Latvia, Lebanon, Lesotho, Liberia, Libya, Liechtenstein, Lithuania, Luxembourg, Madagascar, Malawi, Malaysia, Maldives, Mali, Malta, Marshall Islands, Mauritania, Mauritius, Mexico, Micronesia, Moldova, Monaco, Mongolia, Montenegro, Morocco, Mozambique, Myanmar (formerly Burma), Namibia, Nauru, Nepal, Netherlands, New Zealand, Nicaragua, Niger, Nigeria, North Korea, North Macedonia, Norway, Oman, Pakistan, Palau, Palestine State, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Poland, Portugal, Qatar, Romania, Russia, Rwanda, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Samoa, San Marino, Sao Tome and Principe, Saudi Arabia, Senegal, Serbia, Seychelles, Sierra Leone, Singapore, Slovakia, Slovenia, Solomon Islands, Somalia, South Africa, South Korea, South Sudan, Spain, Sri Lanka, Sudan, Suriname, Sweden, Switzerland, Syria, Tajikistan, Tanzania, Thailand, Timor-Leste, Togo, Tonga, Trinidad and Tobago, Tunisia, Turkey, Turkmenistan, Tuvalu, Uganda, Ukraine, United Arab Emirates, United Kingdom, United States of America, Uruguay, Uzbekistan, Vanuatu, Venezuela, Vietnam, Yemen, Zambia, Zimbabwe","513","513","1.0"
"What is the best watch in the world ?","Best watch in the world?","9","6","0.67"
"Which US astronauts that landed on the moon were Scouts?","Which US Moon-landing astronauts were Boy Scouts?","11","10","0.91"
"Which is a species of fish? Grass carp or Grass","Which is a species of fish? Grass carp or Grass","11","11","1.0"
"What are crawfish and how do you eat them?","What are crawfish and how do you eat them?","11","11","1.0"
"Why is Football a popular spectator sport?","Why is Football a popular spectator sport?","8","8","1.0"
"What is K-Pop?","Define K-Pop.","6","5","0.83"
"Summarize Brown vs. Board of Education of Topeka in one sentence.","Summarize Brown vs. Board of Education of Topeka in one sentence.","17","17","1.0"
"What is a zerbert?","Zerbert definition?","6","5","0.83"
"Tell me about the Qingdao Qianwan Container Terminal","Qingdao Qianwan Container Terminal overview","11","9","0.82"
"Given the reference text, what is log rotation in information technology?","From the reference text, define log rotation (IT).","13","11","0.85"
"In the series A Song of Ice and Fire, who is the founder of House Teague?","In ASOIAF, who founded House Teague?","19","12","0.63"
"Is there a fictional book and tv show by the name Shantaram?","Is there a fictional book and TV show named Shantaram?","15","13","0.87"
"Who was the first president of the United States?","First US president?","10","4","0.4"
"Why do people like to drink tea?","Why do people like tea?","8","6","0.75"
"Who is Paul McIver","Who is Paul McIver","6","6","1.0"
"How is life like living on the pacific north west?","What is life like in the Pacific Northwest?","12","9","0.75"
"What is the best way to feel peaceful in your mind?","Best way to feel peaceful in your mind?","12","9","0.75"
"Classify the following numbers into natural, rational, irrational, integer, and complex:

1, 0, -10, pi, e, root(25), I*pi, root(2), 6/7, 5/6","Classify into natural, rational, irrational, integer, complex: 1, 0, -10, pi, e, root(25), I*pi, root(2), 6/7, 5/6","50","46","0.92"
"Who was the first actor to play the Joker on the Batman television series?","First actor to play the Joker in the Batman TV series?","15","12","0.8"
"Identify the bird from the list: Bar-tailed godwit, Leopard, Shark","Identify bird from Bar-tailed godwit, Leopard, Shark","16","12","0.75"
"What is Merlot?","Merlot?","5","3","0.6"
"When did Arsenal first reach the first division? How many league titles did they win between 1989 and 2005 and how many FA cups? How many trophies in total for that period?","Arsenal first reach First Division year; league titles 1989–2005; FA Cups 1989–2005; total trophies 1989–2005.","39","35","0.9"
"Summarise why lightweight rowing event was at risk in Olympics","Summarise why lightweight rowing was at risk in Olympics","12","11","0.92"
"What is a digital twin?","Define digital twin.","6","4","0.67"
"Name some TV shows that American actor David Duchovny has been in.","List TV shows David Duchovny acted in.","15","10","0.67"
"Why is Kanye sometimes regarded the GOAT (Greatest of All Time)?","Why is Kanye sometimes regarded the GOAT (Greatest of All Time)?","15","15","1.0"
"Give me a list of some different summer holidays that occur in the United States","List some US summer holidays.","15","6","0.4"
"Give me some ideas of what to cook for dinner, I am vegetarian and I have picky children","Vegetarian dinner ideas for picky children.","19","8","0.42"
"Write me a thank you note for my high-school teacher","Write me a thank you note for my high-school teacher","11","11","1.0"
"In what year was the Oakland Ski Club founded?","When was the Oakland Ski Club founded?","10","8","0.8"
"Why breakfast is so important for the day","Why breakfast is so important for the day","8","8","1.0"
"Extract from the text the films that the actor Paul Harvey participated in. Separate them with a comma.","From the text, list Paul Harvey's film appearances, comma-separated.","20","14","0.7"
"Why capri is so famous","Why is Capri famous?","6","5","0.83"
"Give me a list of ten Mayan ruins to visit in Central America.","List 10 Mayan ruins to visit in Central America.","15","12","0.8"
"Choose the word which is different from the rest: Cream, Oil, Butter, Curd, Cheese.","Odd one out: Cream, Oil, Butter, Curd, Cheese.","21","15","0.71"
"Is Pluto a planet ?","Pluto planet?","5","4","0.8"
"What are the names of the main islands of Hawaiʻi in alphabetical order?","Hawaiʻi's main islands, names alphabetized.","15","11","0.73"
"Given this reference text about the career of Charles Henry Bromedge Caldwell, name the ships he commanded after his promotion to the rank of Commander.","From the reference text on Charles Henry Bromedge Caldwell, list ships commanded after promotion to Commander.","28","19","0.68"
"What do these seven things have to do with each other: Lake, Ocean, River, Avalanche?","What do these seven things have in common: Lake, Ocean, River, Avalanche?","20","17","0.85"
"What type of terrain is a gravel bike used for?","What terrain is a gravel bike used for?","11","9","0.82"
"What is Kefir?","Define kefir.","5","4","0.8"
"Given a reference text about Our Common Future, what was the purpose of the report?","What is the purpose of Our Common Future?","17","9","0.53"
"What is the biggest passenger airliner?","Largest passenger airliner?","8","5","0.62"
"Who are the greatest hockey players of all time?","Greatest hockey players of all time?","10","8","0.8"
"Given this paragraph about Michel Warschawski, tell me the two organizations that Warschawski led during his life.","From this paragraph about Michel Warschawski, name the two organizations he led in his lifetime.","25","20","0.8"
"Categorize  the below names into fishes and insects.
salmon, ant, bee, rohu, pike, wasp, beetle, carp, butterfly, cod, moth","Categorize into fishes and insects: salmon, ant, bee, rohu, pike, wasp, beetle, carp, butterfly, cod, moth","37","32","0.86"
"Classify the below places based on the country they belong to.

New Jersey, New York, Kolkata, New Delhi, Ohio, Oklahoma","Classify by country: New Jersey, New York, Kolkata, New Delhi, Ohio, Oklahoma.","27","20","0.74"
"Based on this paragraph about Brazilian jiu-jitsu. which martial arts influenced Jiu-Jitsu.","From this paragraph on Brazilian jiu-jitsu, which martial arts influenced it?","20","16","0.8"
"What is a hardwired smoke detector?","Hardwired smoke detector definition?","8","6","0.75"
"how many strings guitar have?
how guitar projects sound?
what are different types of guitar?","how many strings guitar have?
how guitar projects sound?
what are different types of guitar?","18","18","1.0"
"Classify each of the following as a city, state, or country: Dallas, Bozeman, Kentucky, Ohio, USA, Canada","Classify as city, state, or country: Dallas, Bozeman, Kentucky, Ohio, USA, Canada.","28","24","0.86"
"Which author created Dick Tracy","Dick Tracy creator?","5","4","0.8"
"From the passage provided, extract the net retention rate using the format: NRR {x%}

Product revenue of $555.3 million in the fourth quarter, representing 54% year-over-year growth
Remaining performance obligations of $3.7 billion, representing 38% year-over-year growth
7,828 total customers
Net revenue retention rate of 158%
330 customers with trailing 12-month product revenue greater than $1 million
Authorized a $2.0 billion stock repurchase program","NRR {158%}","101","6","0.06"
"How many episodes is Lost the TV series?","Episodes in Lost (TV series)?","9","7","0.78"
"Which author wrote the ‘Winnie-the-Pooh’ books?","Who wrote Winnie-the-Pooh?","14","8","0.57"
"In Casablanca what is the name of the nightclub","Casablanca nightclub name?","9","5","0.56"
"What type of movie is Nope?","Type of movie Nope?","7","5","0.71"
"What are the five best sports cars to buy right now, under $200K USD?","Five best sports cars under $200k USD to buy now.","18","13","0.72"
"What is a CRM?","What is CRM?","5","4","0.8"
"Create a dialogue between two characters discussing the impact of social media on their lives. Your dialogue should explore both the positive and negative effects of social media on society.","Two-character dialogue about social media’s impact on their lives; explore positive and negative effects on society.","32","20","0.62"
"Give me a list of important things to take on an international trip","List essential items for international travel.","13","7","0.54"
"Given this reference paragrah, who directed ""The Man in the Saddle?""","Who directed ""The Man in the Saddle"" in this reference paragraph?","16","14","0.88"
"What is an Exchange Traded Fund (ETF)","What is an Exchange Traded Fund (ETF)","10","10","1.0"
"Where is the economic independence museum located","Where is the economic independence museum located","7","7","1.0"
"What is the main source of electricity generation in France?","France's main electricity source?","11","6","0.55"
"Classify the following into animals and plants: dog, cat, tiger, roses, tulips, pencil, sofa","Classify animals vs plants: dog, cat, tiger, roses, tulips, pencil, sofa","23","20","0.87"
"Provide me with a list of boy names that are currently popular.","List currently popular boy names.","13","6","0.46"
"Name three creative ways to utilize plastic wrap other than sealing food to keep it fresh.","Three creative uses for plastic wrap besides sealing food to keep it fresh.","17","14","0.82"
"What is the largest city in the world?","Largest city in the world?","9","6","0.67"
"Please write a travel plan to Los Angeles.","Los Angeles travel plan.","9","5","0.56"
"From which countries is  the aurora borealis visible?","From which countries is the aurora borealis visible?","12","11","0.92"
"Classify the below devices based on the brand which manufactures them.
iPhone, iPad, MacBook, Pixel watch, Galaxy phone","Group devices by manufacturer: iPhone, iPad, MacBook, Pixel watch, Galaxy phone","27","19","0.7"
"What season is the best season to visit Chicago?","Best season to visit Chicago?","10","6","0.6"
"Given the reference text below, what is Air Jordan?","From reference text below, what is Air Jordan?","11","10","0.91"
"Is three body problem solved?","Is three body problem solved?","6","6","1.0"
"What sound was 'This Mortal Coil' known for?","What sound was 'This Mortal Coil' known for?","11","11","1.0"
"Name some of the top soccer players","Name some of the top soccer players","7","7","1.0"
"Which of the following countries are in Europe, and which are in the rest of the world: Nicaragua, Australia, Austria, New Zealand, Marocco, Spain, Greece, China, Chile?","Categorize by Europe vs rest of world: Nicaragua, Australia, Austria, New Zealand, Marocco, Spain, Greece, China, Chile.","39","29","0.74"
"What are some good techniques for cooking a steak?","Best techniques for cooking a steak?","10","7","0.7"
"Explain why Key West is a great location for a vacation.","Explain why Key West is a great vacation location.","12","10","0.83"
"Provide a short, bulleted summary of what historians consider the cause of the War of 1812","Brief bulleted summary of historians’ view on the cause of the War of 1812.","20","19","0.95"
"Which Roman general was conspired against and assassinated that is quoted ""Et tu, Brute?""?","Which Roman general, conspired against and assassinated, is quoted ""Et tu, Brute?""","21","20","0.95"
"What is the difference between basketball and netball?","Basketball vs netball differences?","10","7","0.7"
"Are dogs carnivores or omnivores?","Dogs: carnivore or omnivore?","10","8","0.8"
"Which is a species of fish? Trout or Bear","Which is a species of fish? Trout or Bear","10","10","1.0"
"How do I maintain friendships?","How to maintain friendships?","6","5","0.83"
"What is HTTP?","HTTP?","4","2","0.5"
"Why Santorini is Famous","Why Santorini is Famous","5","5","1.0"
"Given this paragraph about Singapore, who was Singapore's first president?","In this Singapore paragraph, who was Singapore's first president?","13","12","0.92"
"How many provinces contain the word ‘Holland’?","How many provinces contain 'Holland'?","10","8","0.8"
"Tell me whether these states and provinces are in Canada or USA: Alabama, Ontario, British Columbia, South Dakota, Quebec, Minnesota, Wisconsin","Canada or USA for: Alabama, Ontario, British Columbia, South Dakota, Quebec, Minnesota, Wisconsin","28","20","0.71"
"What are some ideas for a birthday celebration for a 4 year-old boy?","Birthday ideas for a 4-year-old boy.","16","10","0.62"
"Given the reference text about Mother Teresa's international charity, how many languages did Mother Teresa speak?","From the reference text on Mother Teresa's international charity, how many languages did she speak?","19","18","0.95"
"Write some important points regarding Family Justice Council using given text as a reference","Write some important points regarding Family Justice Council using given text as a reference","14","14","1.0"
"What's the hardest mineral?","Hardest mineral?","5","4","0.8"
"Based on the reference text, what colors do the Tampa Bay Rowdies wear and what stadium do they play in?","From reference text: Tampa Bay Rowdies colors and stadium?","23","12","0.52"
"Which brands does Geely own?","Brands Geely owns?","7","5","0.71"
"Who is the best tennis player of all time?","Best all-time tennis player?","10","6","0.6"
"Who is better : Superman or Batman?","Who is better : Superman or Batman?","8","8","1.0"
"Name some famous basketball players from the 1960's and 1970's","Name some famous basketball players from the 1960's and 1970's","16","16","1.0"
"Classify each of the following countries as Middle Eastern or Central American: Afghanistan, Iraq, Syria, Nicaragua, Honduras, El Salvador","Afghanistan: neither Iraq: Middle Eastern Syria: Middle Eastern Nicaragua: Central American Honduras: Central American El Salvador: Central American","26","25","0.96"
"Is the capital city and the largest city of Chile same or different?","Are Chile's capital and largest city the same?","14","10","0.71"
"Extract when were the universities of Palencia and Salamanca established","Extract when were the universities of Palencia and Salamanca established","11","11","1.0"
"Help me with spend a day in New Delhi. I like architecture, culture, and am a foodie","Plan a day in New Delhi: architecture, culture, and food.","20","14","0.7"
"Can cars have odd number of wheels?","Can cars have odd number of wheels?","8","8","1.0"
"Given a reference text about Elk Grove, what state is it located in and about how many people live there?","Elk Grove reference: state and approximate population?","22","10","0.45"
"What professional baseball team is based out of Seattle, WA.","Which pro baseball team is based in Seattle, WA?","12","11","0.92"
"Write a short story about a young aboriginal man seeking guidance on his place in the world.  Have him consult a wise elder, who will share wisdom and perspective.","Write a short story about a young Aboriginal man seeking his place in the world; he consults a wise elder who shares wisdom and perspective.","34","28","0.82"
"What is a bicameral legislature?","What is bicameral legislature?","8","7","0.88"
"How will Artificial Intelligence change the education industry in the future?","How will AI change the education industry in the future?","12","11","0.92"
"Write a short story about a person who discovers a hidden room in the library. The story should include a plot twist and a clear resolution at the end.","Short story: a person discovers a hidden room in the library; include a plot twist and a clear resolution.","31","22","0.71"
"Why is Santa Fe New Mexico such a great place to live?","Why is Santa Fe, NM a great place to live?","13","12","0.92"
"What kind of merchant ships would be useful in a modern naval conflict?","Which merchant ships are useful in modern naval warfare?","14","10","0.71"
"Which classical composer wrote the Hungarian Rhapsody","Hungarian Rhapsody composer?","9","7","0.78"
"Classify each of the following people as an actor or athlete: Adam Sandler, Harry Kane, Hugo Lloris, Mike Myers, Tyreek Hill, Ryan Gosling, Joel Embiid","Classify as actor or athlete: Adam Sandler, Harry Kane, Hugo Lloris, Mike Myers, Tyreek Hill, Ryan Gosling, Joel Embiid","39","33","0.85"
"Are red roses typically considered an appropriate romantic gift?","Are red roses typically considered an appropriate romantic gift?","10","10","1.0"
"From the passage mention the awards received by Sunil Manohar Gavaskar. Display the results in comma separated format.","From the passage, list Sunil Manohar Gavaskar's awards; comma-separated.","24","18","0.75"
"Who are some of the best basketball players of all time?","Top all-time basketball players?","12","6","0.5"
"Who was the first president of the United States of America?","Who was the first U.S. president?","12","9","0.75"
"What kind of magazine was Nova","What kind of magazine was Nova","6","6","1.0"
"How did the Royal Navy Protect the British Task Force from Argentine air attacks during the Falklands War?","How did the Royal Navy Protect the British Task Force from Argentine air attacks during the Falklands War?","20","20","1.0"
"Can kitesurfers sail up against the wind?","Can kitesurfers sail upwind?","11","9","0.82"
"How many titles have Liverpool won?","How many titles have Liverpool won?","7","7","1.0"
"What us foosball?","What us foosball?","6","6","1.0"
"Is the person who invented bitcoin Japanese?","Is Bitcoin's inventor Japanese?","8","6","0.75"
"Name some of the bravolebrities from Married to Medicine","Name bravolebrities from Married to Medicine","11","8","0.73"
"When you get a new dog, how to prepare the living space?","How to prepare living space for a new dog?","14","10","0.71"
"How many runs did Sachin score in the 2011 world cup?","Sachin runs in 2011 World Cup?","15","10","0.67"
"What is the name of William Gibson's first comic book series?","William Gibson's first comic series name?","13","8","0.62"
"What is a flat earther and is it possible for the world to be flat?","What is a flat-Earther and can the Earth be flat?","17","14","0.82"
"What are all the different names for COVID-19 and which one is the most recommended?","List all COVID-19 names and the most recommended name.","18","12","0.67"
"What wine varietal is the most popular produced in Oregon?","Oregon's most produced wine varietal?","12","9","0.75"
"Which is a species of fish? Sardine or Sardinia","Which is a species of fish? Sardine or Sardinia","12","12","1.0"
"Given the passage about churches built in the village of Zijldijk in the Netherlands, when was the only running church built?","From the Zijldijk passage, when was the only running church built?","25","15","0.6"
"How do I get better at bouldering?","How to improve at bouldering?","10","8","0.8"
"Write a rant about people that pour milk before cereal.","Rant about people who pour milk before cereal.","11","10","0.91"
"Where is the Black See?","Where is the Black See?","6","6","1.0"
"How does a pine cone work?","How do pine cones work?","7","6","0.86"
"7 factors led to nokia failure","7 factors behind Nokia's failure","7","6","0.86"
"Which of these sentences is correct: ""If I was you, I would do it"" or ""If I were you, I would do it""?","Which sentence is correct: ""If I was you, I would do it"" or ""If I were you, I would do it""?","30","28","0.93"
"Why do toddlers wake up so early?","Why do toddlers wake up early?","8","7","0.88"
"Tell me a joke","Tell me a joke","4","4","1.0"
