original,original_token_count
What are transistors made from?,7
5 best mailing sites,4
"Find an item from each category bellow that somehow relates to a banana.

place
animal
vehicle
feeling
food
tech
song
movie",31
"Using the following text, list the top 4 drugs by revenue for Pfizer in 2022?",20
How do you train for a marathon?,8
What is Collateral?,5
What is a spatial network?,6
Who is the Disney character named Grogu?,9
Think of a lot of different ways you could tell your roommate about something you need to buy at the store.,22
"Tell me whether the following politicians are associated with California or Florida: Kamala Harris, Nancy Pelosi, Ron DeSantis, Marco Rubio, Charlie Christ, Diane Feinstein, Gavin Newsom",38
Who are co-founders of Google?,8
What are considered some of the hippest cities in the United States?,14
How to understand or classify Indian film industry?,9
"Which product is part of the Security & Governance model in Lakehouse and which is used for Datawarehouse in Delta Lake? Unity Catalog, SQL endpoint, Serverless SQL, Storage credential.",37
Write a polite rejection response to a LinkedIn recruiter,10
Why is free climbing called free climbing?,8
What are some sound personal financial practices to employ in the modern economy?,14
"Which of the following are fruits and which are vegetables, from this list: Tomatoes, Carrots, Onions, Broccoli, Mushrooms, Cauliflower, Cabbage, Chives, Grapes, Sausages?",46
What can I do at the airport?,8
Give me the instructions on how to escape a labyrinth,10
what are capers,4
"Classify each of the following as either a citrus fruit or non citrus-fruit: apples, pears, watermelons, lemons, clementines, mandarines",33
"What's the significance of the lighthouse in Virginia Woolf's ""In The Lighthouse?""",16
Give me 3 ways you can cook eggs,9
"Given this paragraph about grunge guitarists, what types of amplifiers would typically be preferred?",19
Give me a list of the best French rugby players ever,11
"Tell me whether each animal has feathers or hair: falcon, pigeon, chimpanzee, cat, cardinal, hamster, horse",26
Who is Antonio Jose de Sucre?,8
What is the legal drinking age?,7
Who was given EY Entrepreneur of the year award 2020 ?,13
Make a list of several games I could play with two friends,12
When did the gallipoli campaign take place?,10
How many seasons did Shaq have over 30 ppg,12
What's the capital city of Czechoslovakia?,11
What are some of the best science fiction movies of all time?,13
How do I apply for a single-entry e-visa to Uzbekistan as a US citizen for tourism? What potential pitfalls do I need to look out for?,31
Why did my cookies turn out flat?,8
"I want to buy a new car. This is a difficult financial decision, but our car is 12 years old. Can you write some reasons I can give to my partner so she's on board with this decision.",43
Think up different types of places to go for vacation.,11
What is Chess?,4
In English do adjectives go before or after nouns they describe?,12
Extract the stages for portfolio optimization from https://en.wikipedia.org/wiki/Portfolio_optimization,17
What are some ways to get promoted at your job?,11
Paul McCartney and John Lennon wrote which Rolling Stones song?,12
"Given a reference text about Raul Axente Ciupe, tell me what country he is from and what position he played.",25
What is Beggar's Chicken?,7
What is a synonym for something which is eco friendly?,11
Who were fighting each other in this battle and what's the consequence of it,14
What is type 1 diabetes?,7
How long does it take me from the city center of Munich to the football stadium?,17
Why did naatu naatu get oscar for best original song?,14
What is the capital of Mongolia?,7
How was Elon Musk involved in Paypal?,8
Who was Lawrence Grant White?,6
What are the top semiconductor companies?,7
From the passage mention the services provided by Jio. Also consider the services to be provided in future. Display the results in comma separated format.,29
What are some lazy meals I can cook at home?,11
Why did TSMC choose Arizona for its chip manufacturing,11
Why do human beings react slow on climate changes?,10
What are some of the best outdoor experiences in Italy?,11
What kind of weather do people prefer?,8
"Name some recurring villains on the TV show ""The X-Files.""",14
Is breakfast cereal a healthy food choice in the morning?,11
"From this text, find out the pros and cons of dredging",13
History of Linux,3
Name some of the bravolebrities from Below Deck,10
"If I am traveling from Berkeley to San Francisco, what are the public transit options?",17
"Tell me whether these are artists or football players: Andy Warhol, Joe Montana, Jackson Pollock, Tom Brady, Mark Rothko.",28
Who is the best soccer player in the world?,10
Who is the Cigarette Smoking Man?,8
Give me some ideas of where I should go on holiday.,12
why is hydration so important?,6
What was the Ghazi Attack in Indian subcontinent?,11
Why is Chicago so windy?,6
What is Lady Gaga's real name?,8
When was Lure of the Swamp released?,10
Share some details about paris city from the given text.,11
"In The Divergent series by Veronica Roth, what is the name used to refer to people who don't fit into a specific faction?",26
What are the top graph databases?,7
Give me an overview of the inspiration of the development of Barbie based on this passage,16
What is XGBoost Algorithm?,7
What's a romatic poem about the universe and time?,11
"Identify which instrument is string or percussion: Makuta, Tricordia",15
What should I do this spring in San Francisco?,10
"Group the following into manmade and non-manmade (naturally occurring) items: computer, salt, fence, tree stump, hillock, lightbulb, terracotta planter, snow, wolves, tablecloth, periodicals, museum",48
Write an email to a butcher asking how much and what types of meats would be best for a BBQ for 20 people. And ask for a quote.,31
I'm about to leave San Francisco and I love my rickety old apartment. Write it a tribute and make it poetic!,25
What are the differences between acoustic guitars and classic guitars?,11
What is COCOMO,5
How can I treat a cough without medication?,9
When was the Roman empire founded?,7
As per the passage whose works did Narendranath study?,13
Where are good places to go for vacation?,9
How is the film Merrily We Roll Along being filed?,12
Where is John Rahm from?,7
How many people in total were killed or injured in this text?,13
What are nice things to do for someone on their birthday?,12
What is Akshardham?,7
How do I cook basmati rice?,8
Give me a short summary of the movie Gladiator.,11
Is crocodile a reptile or an amphibian?,11
Where is Dieveniskes located,7
Give me tips on how to stick to habits?,10
How often should I walk my adult dog?,9
What does CMWCs stand for?,8
"Given this reference text about Nintendo, when was it founded?",12
Are panda bears real bears?,6
Do you have to get training to go scuba diving?,11
What are the FAANG companies?,7
What is alternative rock?,5
What are the qualities of a good manager?,9
"Tell me whether these teams have ever won the Champions League: Real Madrid, Manchester United, Manchester City, Liverpool, Paris Saint-Germain",26
Why is Dungeons and Dragons so popular nowadays?,10
"Van Halen (/væn ˈheɪlɛn/ van HAY-len) was an American rock band formed in Pasadena, California, in 1973. Credited with ""restoring hard rock to the forefront of the music scene"", Van Halen was known for its energetic live shows and for the virtuosity of its lead guitarist, Eddie Van Halen. The band was inducted into the Rock and Roll Hall of Fame in 2007.",94
Name some famous songs by George Gershwin,9
How is binary search vs other searching schemes?,9
What are the names of the Stark children's direwolves?,11
Give me a random bulleted list of ten landlocked countries,12
"My manager is available on Tuesday, Wednesday, and Thursday after 12 PM PST and her manager is available on Wednesday after 4:30 PM CST and Thursday from 3:30 PM to 4:30 PM CST. Can you suggest a time for me to schedule a meeting with the two of them if I have to sign off at 5 PM EST every day?",76
"What are five totally distinct, creative ways to describe the usefulness of the government?",16
What is a stinky slinky?,8
Name some of the bravolebrities from Summer house,10
What are the ways you can eat an apple.,10
when was the Playstation 5 announced?,8
"Can you help me to categorize these things as either ""expensive"", ""not expensive"", or ""I don't know"": air, gold, rock, rocket and dream.",34
who is tamil nadu super star ?,8
How can I find accurate directions between two places?,10
What do you know about the Fatimid Empire?,10
"Who sings the song ""Riptide""?",9
Why was Tingri important for Nepalese people based on the following text?,15
Which is a bird or fish: Red snapper or Red kite,13
What is Lorraine,3
Based on the following passage what is alternating current affected by?,12
"Classify each of the following as ""Vegetarian Friendly"" or ""Not Vegetarian Friendly"": chicken, peanuts, eggs, bacon, sausage, lettuce, ketchup",31
"As a 16-year old high school student, write a short summary of your visit to the Vermeer exhibition in the Rijksmuseum.",27
Give me the list of 'The Lord of the Rings' movie series by Peter Jackson director. Ordered chronologically by the events happening in the series.,30
Name the vocalists of Vengaboys.,10
How to remove limescale from showers and taps?,11
What are some rules of Slack etiquette?,8
Write a brief passage arguing for the use of genetically modified crops in agriculture.,15
Who is Sasha? How does her life compare to Becky?,12
What is the best way to store food?,9
Please summarize President Joe Biden's statement below.,9
What role did barrels of benzol play in the explosion of the Mont-Blanc?,17
"Classify each of the following as a Country, State, or City: Saint Louis, Detroit, Alabama, Washington, Washington D.C., Alaska, Canada, Mexico, Mexico City, Toronto, Florida, Boise",42
What food is served at a Mexican restaurant?,9
Which exchanges is RELX listed on?,8
What is a Haiku?,6
What is the main difference between decoder only transformer and encoder only transformer?,14
When was Scarlett Johansson born?,6
give me a list of counties in Virginia by population,10
What are the benefits of in-person learning versus online?,11
Who is the singer of the song I'm So Excited?,12
What hit song that was used in the Bollywood movie Don actually a reject from an earlier movie.,19
Is the following state true or false: Peanuts are vegetables?,13
How does someone win the Tough Guy Contest?,9
What is the word that suggests the sound that it describes?,12
Give me a list of the best places in the United States to go skiing,15
How many quarters do you need to have three dollars?,11
Why do developers like Agile?,6
"Identify which animal species is alive or extinct: Nuralagus, Black Spider Monkey",16
Give me a numbered list of the named characters in the following passage.,14
How to be a good software engineer?,8
What is the legal drinking age in the USA?,10
How do I calm down a toddler when they are having a tantrum?,15
"Which one of these do not belong to the group:  Tomato, Carrot, Ginger, Potato, Turmeric",23
Please summarize Sinclair's argument in this paragraph for why longer lifespans will not lead to overpopulation.,21
Why is American Football popular?,6
How many books are there in the Harry Potter series?,11
"Other than Tanki, how many other known Amerindian settlements are on Aruba?",17
What is considered as  Emma Edmondson's best work as an actress?,15
Who sold more CDs in 2016 than Beyonce?,11
"Which of the following are cities in Australia: Sydney, Melbourne, Adelaide, Perth, Canberra, Rio de Janeiro, Beijing, Shanghai, New York, Singapore, Germany, United States, Tokyo",38
Is it safe to drink water out of a creek?,11
Why does moon change its shape?,7
"Which of these programming languages is different from the others : C++, Java, Go, Scala",18
How many rounds are played in a professional golf tournament?,11
List some reasons why cats are the best pets.,10
Which is the most popular sport in India?,9
How should I go about planning a trip to Europe?,11
How would you train for a marathon?,8
"Classify each of the following as flexible or inflexible: gymnast, yoga instructor, steel, rubber, leather, wood",24
"Classify these various instruments as either percussion or woodwind instruments: flute, clarinet, drum, bassoon, marimba, cymbal",28
What is the Forever War about?,7
What is another name for the Great Pyramid in Egypt?,11
"Tell me whether these Pokemon are fairy or poison type: Clefable, Jigglypuff, Rapidash, Arbok, Nidorino, Zubat",33
Extract references to electric fish in ancient texts from the following passage.,13
Why is Stephen A. Smith a great journalist?,10
Where is located the Roberson Museum and Science Center?,11
What is the most popular female dog name,8
"Which is a bird or fish: Yellow-legged gull, Yellowfin tuna",14
Give me a bulleted list of the 5 most recent UK Prime Ministers,15
"Given the reference article, Please give marriage date of indian actor Shahrukh Khan",16
What are the important points about Lunar eclipse in the given text?,13
"From the passage provided, extract the FAO measurements for hunger. Separate them with a comma.",19
Who is Brandon Sanderson?,6
Describe how you planned a father and son high school senior trip,12
"Given this text about James Pressdee, tell me what sports they played, which awards they won, when they were born, and if they are still alive.",32
"Tell me what is a good manager and a bad manager: Sympathy, open, democratic, Micro management, always show trust, always show doubt, intimidating",30
Who does the Navy Cross is awarded to?,9
What is a metaverse?,6
"First, it's important to know what your goal is with a bicycle. If you go out with the family, you can choose a regular bicycle, but if you go to use for competition, it is better to choose a more sophisticated carbon fiber bicycle, for gain more performance in races.",57
I want to plan a vacation in summer. How do I know where I can go?,18
What's the capital of Brazil?,6
What is the origin of Flamenco?,8
How to evaluate an equation with multiple operations?,9
"What are Calories, and what is the difference between good and bad calories?",15
How do you know if a chicken breast is fully cooked?,12
How many episodes of the second season of Game of Thrones did Alan Taylor direct?,16
What are the most important figures in the passage provided about Singapore? Please provide in bullet points.,19
"Tell me whether each of these wine regions is in California or Italy: Napa, Sonoma, Healdsburg, Tuscany, Veneto",25
"Extract the Greek terms in the following paragraph, along with a short definition, in bullet points.",19
Give me a list of books that are long and hard to read. The sort of books with which I could impress someone who read a lot.,29
"Given this paragraph, who won the Montenegro presidential elections and how much of the vote did they receive in each runoff round?",24
"Based on this passage, why is Chris Kuroda's nickname CK5?",16
What is IFSC?,5
What are some tools to help combat ADD and ADHD?,11
"How much more did the house cost than originally planned? Express as an absolute or nominal difference, not as a percentage.",24
Is the Ironbottom Sound a boardgame,8
Did the dome last as long as it was designed for?,12
"Given a reference text about Gaya Island, how many hiking trails and 5 star resorts are on the island?",23
"Given this text about Battlefield 3 on Wikipedia, what was the included classes you could play as in the game?",23
Who are the almohad,5
Which is a species of fish? Marlin or Doberman,12
What are the national languages of Switzerland?,8
What is the name of the largest train station in Amsterdam,11
What is the capital of Georgia?,7
What are some geographical and topological features of the Bajardo comune described on this text?,18
"Given a reference text about the Eurovision Song Contest 1987, tell me where it took place, and how many countries participated.",26
"Given this reference text, how old was Trey Anastasio when he co-founded Phish?",18
Which two U.S. states don’t observe Daylight Saving Time?,14
What is Inflation?,4
Who is best college football coach?,7
What is the primary source of energy for heating homes in the Northeast United States.,16
Which names below are more used for boys or girls in 2023,14
what method of commuting works best to get from Marin County to downtown San Francisco?,16
"classify each of the following as either a city or a county: usa, mexico, cananda, syracuse, austin, mumbai, japan, tokyo",34
"Given this paragraph about the Golden Records, tell me what it is, where it is heading, who/when created it.",25
What are some of the achievements of James Hightower,11
What are the main impacts to the earth as a result of climate change.,15
How to get entrance to Istanbul from US?,9
In total how long was Winston Churchill the Prime Minister of the United Kingdom.,15
Write a story about a dark and scary night.,10
What changes needs to be done in H1b lottery process,12
What were the top 5 best-selling British sports cars manufactured by British Leyland?,17
What is Lean manufacturing,4
"Identify which instrument is string or percussion: Atumpan, Axatse, Baryton",18
What are 5 really good golf ball brands for amateur players,12
Write a short story about a man who discovers a partially built treehouse.,15
"Tell me when Silvio Berlusconi was born, how long has he been Prime Minister in Italy and what his nickname is",25
What kind of animal is the Diaea dorsata,10
How long does a tennis match take?,8
What is GeneBass?,5
How do I pick the best bananas?,8
From the passage list down the various Gods whom Bhrigu visited. List the results in comma separated format.,22
"Tell which of these musicians is a guitarist or a bassist:  Eddie Van Halen, Nikki Sixx, Steve Harris, Billy Sheehan, Steve Vai, Joe Satriani, Matthias Jabs, Jimmy Bain, Mick Mars, Vivian Campbell, Angus Young",53
What is the launch date of Artemis mission?,9
Retrieve the teams Doug Pederson was affiliated with as a coach,12
What is the fundamental problem of economics as a discipline?,11
Lauren is a 32-year-old women who weighs 166 lbs and has never participated in resistance training. She participated in an initial fitness assessment and wants your advice about starting a muscular fitness program at your exercise facility. Design a resistance training routine for Lauren to help her achieve moderate gains in both muscular strength and endurance.,63
"From the passage provided, extract the names of the co-founders of Hadoop. Separate them with a comma.",22
What did the note in Hermione's hand say when she was found petrified in Harry Potter and the Chamber of Secrets?,24
"If I wanted a play games with my computer, what components should I pay attention to?",18
What is Foreverly?,5
How many parts were brand new in the Porsche 993?,12
Do you know how many episodes of Game of Thrones are there?,13
Can you extract the 5 most important characteristics of the moon from this literature in a single paragraph?,20
How many Children Trump has?,6
What are the administrative divisions in Morocco ?,8
Give me a list of the last ten Grammy Award for Best New Artist winners.,16
"My coffee tastes too acidic, what can I do to balance it out?",15
Which movie(s) inspired the 2019 DC comic movie Joker?,14
What does the Horse Statue in Ground Zero Represent?,10
What is Chinese Eduction System like?,8
Write a poem about a cat owner who gets transported to a parallel universe where highly advanced cats keep humans as pets.,23
On a golf course where are the holes?,9
What is the best Engineering college in Bangalore?,9
Are Air Fryers safe to use?,8
What is the largest employer in the world?,9
How do I make a custom-shaped rug?,9
"Identify which car manufacturer is Italian or American: Lamborghini, Chrysler",12
What books has David Duchovny written?,9
What is audit in finance?,6
Why india is so Poor Country,6
What sports can I play in Summer?,8
What is the “yacht rock” genre of music?,12
What is an API gateway?,6
What are some of the languages spoken in India?,10
What are 5 fitness tips that will help me lose weight,12
What towns make up Cape Ann?,7
"From the passage provided, how old was Betty White when she died?",14
"Categorize the below in terms of avocado or apple types.
Hass, Fuerte, Zutano, Fuji, Gala",24
What is a dam?,5
"Tell me about Reno, Nevada.",7
Fidelity Bravery Integrity is which organisations motto,9
What is primary innovation that a piano delivered over a harpsichord?,15
Show me the current P4P boxer ratings in the world,12
What is the biggest land mammal?,8
What is Riot Games' single player game that was released in 2021?,16
What are dogs?,4
Where was Alexander The Great from?,7
Write a short story with a moral - slow and steady wins the race,14
"Identify which instrument is string or woodwind: Giga, Panflute, Chuniri, Dizi",21
What foods are good sources of protein?,8
Landlord can I get a dog.,8
Name some famous 20th century Russian composers.,10
What does this text say about the first season of Billions?,13
What does current consist of?,6
What is the definition of Vegetarian?,7
"Classify the movies based on their original language.
Bommarillu, Zeher, Lagaan, Karthikeya, Magadheera, PK",31
Can you give me a brief history of Data Storage?,11
"Classify the cities based on whether they are located in Wallis and Futuna or Guinea.
Mamou, Leava, Mata-Utu, Conakry, Guéckédou",37
What is detection engineering and what are the benefits?,10
Make a list of 10 things I should buy at the grocery store.,15
I need to improve my sleep.  Give me a list of ideas for doing so.,18
"I am getting married, give me the list of the main tasks I need to do to organise the event.",22
What is the movie True Spirit about?,8
"Which characters belong to DC or Marvel Universe? Susan Storm, Green Lantern",14
"Identify which instrument is string or woodwind: Koto, Soprillo",15
"What are the places McCaw travelled to capture movements of the Sun?
List them in a comma separated format.",23
Why was the  Battle of Stalingrad so important?,12
What is the sign of the kiwi,7
What is the plot of the Waterloo Road,8
Give me a list of ways to express your love to someone,12
Give me a list of some quotes from Bhagavad Gita.,13
How do you become more successful?,7
"Rewrite the following sentence in terms of horses, rather than dogs: ""The adjective form of dog is canine.""",22
"Classify the following as either a makeup product, school supply or both: eye shadow, highlighter, contour stick, eye pencil, binder, marker",30
"Identify which animal species is alive or extinct: Phytosaurs, Leatherback Turtle",16
"If I was trying to build a garden shed, categorise each of the following as either ""useful"" or ""not useful"". A banana,  a hammer, nails, screws, personal protective equipment, an assistant, wood, kitchen knife, spoon, ice, magnifying glass",57
"Using given passage as a reference, Jot down some points on Laredo Formation",17
How would the world look like in say 200 years from now?,14
Give me some strategies to prevent procrastination,8
When is Tax Day not on April 15?,10
"Which is a bird or fish: Yellowedge grouper, Yellow-browed warbler",18
What is gravity?,4
Why do people like to drink coffee in the morning?,11
What is the evolved form of Pikachu?,9
Was Jens Stub Swedish?,5
"Which items on this list are scientific instruments and which are musical instruments: guitar, microscope, drums, petri dish, piano, trumpet, and bunsen burner.",33
What is a group loan?,6
"Which of the following are not real seasons of Survivor (specifically, the US version)?
- Borneo
- Champions vs Contenders
- Champions vs Contenders II
- Micronesia
- U.S.
- Hawaii
- China
- All Stars
- 44
- Heroes vs. Healers vs. Hustlers
- Celebrity
- Ghost Island
- Blood vs Water
- Washington",83
What type of Pokemon is Charizard?,8
When was the New York City song released?,9
How should I go about meeting a romantic life partner?,11
"Given this paragraph about Lake Michigan, tell me where Lake Michigan ranks in terms of size by volume.",20
Why is film photography popular again?,7
What kind of plant is the Besleria modica,11
Where is Peloton Interactive based?,7
What is VCF?,5
"List the six episode titles from the last season of ""Game of Thrones"" in broadcast order.",19
write a poem about the holidays,6
"Identify which instrument is string or percussion: Yangqin, Baglama",13
Give me 5 facts about Singapore,7
"When using adjectives to describe the size of something, divide the following words into 'big' and 'small' categories. Tiny, huge, minuscule, little, gigantic, enormous and microscopic.",40
"Classify the following as either a painting or a sculpture: Mona Lisa, The Starry Night, Venus of Willendorf, Bust of Nefertiti, The Terracotta Army,  The Last Supper, The Burghers of Calais",50
"Are these baseball teams or football teams: Arizona Diamondbacks, Seattle Mariners, Pittsburg Pirates, and Houston Astros?",23
"Give me a list of the top ten tv shows, according to IMDb ratings.",16
What books did Brene Brown write?,8
"In the series A Song of Ice and Fire, who is the founder of House Blackfyre?",20
What is the oldest country in the world?,9
"given this article about Enrico Silvestrin, what year did he get evicted from Celebrity Big Brother?",22
Fix the typos and grammar in this paragraph,9
Why Bangalore climate is pleasant,5
What is DevSecOps?,6
What is Microfinance?,5
What is aliasing?,5
Name some largest US states,5
What's a good 5-day itinerary for visiting the Amalfi Coast?,14
"Identify which car manufacturer is Japanese or American: Jeep, Suzuki",12
"Classify the following countries by area as large, medium, small: russia, china, switzerland, egypt, indonesia, argentina, netherlands, south africa, iran, san marino, togo, canada",44
Who is Sanford School of Public Policy at Duke named after?,12
List reputable Universities in San Diego,6
Tell me about StarCraft.,6
What are three uses of a sheet besides bedding?,10
List the incarnations of Lord Vishnu.,9
What is a ceiling joist?,7
What are some board or card games that you recommend for ten year olds?,15
What are the best places in the United States for a golf trip?,14
Who received the maximum number of Oscar awards of all time?,12
"Tell me which one of these companies is a popular manufacturer of golf clubs: Ping, Cobra, Nike, Taylormade",25
"Create content for an AirBnB guest pamphlet for a house that is on the beach in Florida. It should include the property address, host contact information, wi-fi network and password, check-in/out instructions, practical information about the property (e.g., garbage & recycling days), and the best restaurants, bars and activities near the house.",69
How do you cook eggs?,6
How is a grilled cheese sandwich prepared?,8
What equipment do I need to go camping?,9
In which Harry Potter's book did we learn about Voldemort's childhood?,16
What factors should I consider in choosing an electric vehicle?,11
Where was city musician Thomas Russell born?,8
What are the 7 science classifications?,8
"As a leader, how do you build an environment of trust?",13
"Make a pro and con list for two different options for a first date: dinner and a movie, or a trip to a bowling alley. Give at least 3 pros and cons for each option",39
What are snowshoes?,6
"Which of the following are Pixar/Disney movies: How to Train Your Dragon: The Hidden World, The Secret Life of Pets 2, Turning Red, Toy Story, The Boss Baby: Family Business, Soul, Coco, Inside Out.",48
Who is credited with the recognition of electromagnetism?,11
"Identify which animal species is alive or extinct: Stupendemys, Gray Whale",16
What are some guitar brands associated with classic rock?,10
What 5-letter word spelt in all capital letters can be read the exact same upside down?,20
Are there any movies about Atlantis?,7
"Tell me which of these items would be helpful on a camping trip: Golf Club, Tent, Matches, Axe, Soccer Ball, Xbox, Water bottle",30
How do dolphins make noise?,6
"Which of these would I find on a pirate ship: oars, cannons, gym shoes, air conditioning, swords, frisbee golf set",29
"Identify which instrument is string or percussion: Fontomfrom, Ruan",14
Is Qumran worth to visit,7
"Classify the following foods by macronutrient: rice, banana, veal, tofu, butter, avocado, kangaroo, and pumpkin.",30
"Imagine a world where life expectancy is fixed and the same for everyone at birth, yet people can engage in life expectancy ""donation"" – meaning that someone can extend your life three years longer at the expense of theirs. Talk about a likely scenario in this world that involves voluntary donation.",58
Which stock indexes is RELX part of?,9
"Tell me whether the following are Pokemon or Overwatch characters: Hanzo, Flareon, Mewtwo, Mei, Dratini, Kiriko",30
"Does having a real cork, artificial cork, or a screw-top have any impact on the quality of a bottle of wine?",25
"Is the saying ""An Apple a Day Keeos the Doctor Away"" Factually correct?",18
Give me a list of the 10 best European cities to visit,13
"In the following passage about mechanical-switch keyboards, which keyboards are the loudest, and how can I make them quieter?",24
"Who amongst these are tennis players: Virat Kohli, Roger Federer, Rafael Nadal, Novak Djokovic, Serena Williams, PV Sindhu, Virender Sehwag, Maria Sharapova, Steffi Graf, Venus Williams.",46
"Tell me 3 ingredients found in common United States foods that are banned in other countries. Provide an answer in list form and include examples of: foods that the ingredient is found in, countries where the ingredient is banned, and side effects.",48
What is the 2018 TicketGuardian 500,10
What is the difference between a trumpet and a trombone?,12
Where is the Stade Louis-ll located?,9
"From the passage provided, extract the distance between Mercury and Sun in AU when it is closest to the sun in its orbit.",25
What is power resource theory?,6
Please give me a short bulleted list of the most important facts about the album “The Dark Side of the Moon” from the rockband Pink Floyd,30
What is the area of Texas in square feet?,10
Do dogs reciprocate based on how you treat them?,11
What motivates a chief executive officer?,7
Who is the little person in Game of Thrones?,10
"Name some of the great TV shows of the 1970s, 1980s and 1990s",23
Which companies did Theranos partner with in 2015?,12
What is daylight saving time?,6
What is a Husky?,6
"What season are each of these associated with? Snow, flowers, beaches, pumpkins",16
"Based on the given text, can you please. list some important aspects of colour theory",17
"What is the fastest street legal car, actually demonstrated, in the world?",15
What is TESSA?,6
"Given this paragraph about surfboards, summarize what a surfboard is made of",15
Why can't the whole world be 1 country?,10
What is the .NET Framework?,7
Where did David Houseman go to college?,9
Who really invented the telephone ?,6
Is drinking too much water bad for you?,9
Tell me what are aspects of polytopes from given text,12
Where are oysters found?,5
What can an organization do to increase employee satisfaction apart from providing monetary benefits? What can be the focus areas? Are there any daily lists of activities which can be beneficial in this aspect?,37
What is salvation in christianity?,7
"List the universities in Dublin in order of founding year ascending. Supply the answer as an enumerated list in the format {University name}, {Year of founding}",32
What are the best 10 high protein options to eat?,12
What is GDPR?,4
Which episode does Jon Snow concede to Daenerys Targaryen's authority?,17
"Identify which of these episodes appear in Season 5 or Season 6 of The X-Files: The Pine Bluff Variant, Bad Blood, Detour, Emily, Christmas Carol, The End, Dreamland, Triangle, Drive, The Beginning, S.R. 819, Field Trip",57
"From this passage, tell me what was Osborne Computer Corporation's mistake.",14
What are some interesting places to visit in Canada as a tourist?,13
Extract the various ways to say Good Friday from the text. Separate them with a new line.,19
What is the Taubate Prison known for,9
How many toes does a cat have?,8
What is the difference between iOS and MacOS?,11
"Classify each of the following as amphibian or mammal. Dog, Toad, Salamander, Elephant, Frog, Bear",26
Whats are the 5 best places to visit in late spring months like May?,16
Who is the greatest Boston Red Sox player of all time?,12
How to file tax for 2022?,9
Give me a list of most popular songs of Foo Fighters,11
How is the Maasai dance called the Adumu commonly called by other peoples?,16
"Identify which instrument is string or percussion: Caxixi, Gunjac",15
"Classify each of the following as having two or four legs: human, horse, dog, cat, monkey, kangaroo, boar",28
"What did Apple co-founder, Steve Jobs, die from?",12
What is the number one selling dog?,8
How to gain more subscriber in Youtube,7
How do you play basketball,5
"Given this information about Vietnam, which country does it share its northern border with?",16
"Given a reference text about Farhad Moshiri, what do his painted jars look like?",19
Retrieve and list the Sum41 albums mentioned in the text,11
How do I do a headstand?,8
"Based on this paragraph, what is the diameter of a 10 F Foley catheter in mm?",19
What is the definition of Vegan?,7
What is an Ironman Triathlon?,8
How many slide positions are there on a trombone,10
"Tell me whether these are European countries or Asian countries: Spain, France, Norway, the Czech Republic, Denmark, Portugal, Brazil, South Africa, Canada, China, Japan, Malaysia, Singapore, Sri Lanka, The Philippines",45
What country has the highest GDP?,7
Which Dutch explorer reached Tasmania and New Zealand in 1642?,13
What do the different ski slope colors mean?,9
"Categorize each of the following fundamental particles as either interacting via the strong force, the electromagnetic force, the weak force,  or the gravitation force: a neutrino, an electron, a proton, a neutron.",44
"What are some of the ways that people celebrate the ""Jindo's Sea Way"" festival in South Korea?",22
"Classify each of the following as either a type of coffee bean or a Latin dance style: bachata, huehuetenango, tango, Jamaican Blue mountain, merengue, salsa, Tanzanian Peaberry, Ethiopian Harrar, Kenya AA, flamenco",54
How are sub-lets traditionally they handled?,9
What is Fortran?,5
Write a letter to a school asking for an appointment to tour their facility,14
What is the capital city of Croatia?,8
"Identify which instrument is string or percussion: Kisanji, Tonkori",15
"Which of the following ski resorts are in Colorado and which are in Utah: Alta Ski Area, Brighton Ski Resort, Snowbird, Solitude Mountain Resort, Deer Valley Resort, Park City Mountain,  Woodward Park City, Nordic Valley Resort, Powder Mountain, Snowbasin, Sundance Resort, Beaver Mountain Resort, Cherry Peak Resort, Brian Head Resort, Eagle Point Resort, Keystone, Copper Mountain, Vail Resort, Beaver Creek, Eldora",89
What are three meals that a small child is likely to eat for lunch?,15
How many atomic bombs have been used in combat in human history?,13
"Tell me which of the eight planets in our solar system have moons and which do not. Classify the planets into 'No Moon', 'One Moon', and 'Multiple Moons'. The planets are: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.",59
What are some common wilderness and survival skills?,9
Who sang Big Big Deal,5
"Identify which instrument is string or percussion: Igil, Bara",12
"From the passage provided, extract the movie that did well across the globe but received underwhelming traction in Matt Damon's home country.",27
Why are shiba inus the best dogs?,10
"Identify which animal species is alive or extinct: Simbakubwa, Arctic Wolf",15
"Who composed the 'Moonlight Sonata', and when?",11
Who is Marshall Strickland,6
"Identify which car manufacturer is French or American: Peugeot, Ford",12
What is Twice's debut album?,7
"You have been asked to join the School Health Advisory Council to develop a new policy that focuses on the development of a more sustainable food service. List the steps you would take to develop and implement the new policy. How would you involve staff, families, and children?",53
Why is the band Phish so popular?,9
What's Rockhopper Exploration PLC business?,7
Is it better to run or to walk?,9
"According to Sanderson's Law of Magic, what is the difference between hard and soft magic?",19
How does the J programming language improve upon the syntax of APL?,14
What is the National Payments Corporation of India?,9
Which TV series was narrated by Walter Winchell,9
At what age can you get a driver's permit in the state of Washington?,15
"My cat is constantly meowing by the door after I let her out once, but it's dangerous for cats to be outdoors unsupervised. What are some ways I can train her to stop meowing?",41
"classify each of the following as living or non-living: dog, table, cat, tree, pen, book.",25
What is YouTube?,5
Highlight relevant facts related to Heidelberg,6
