"original","compression","original_token_count","compression_token_count","compression_ratio","rouge_1","rouge_2","rouge_l"
"Identify which instrument is string or percussion: Tamborim, Veena","String or percussion: Tamborim, Veena","14","10","0.71","0.7143","0.6667","0.7143"
"Which is a species of fish? Blenny or Benny","Fish species: Blenny or Benny?","11","8","0.73","0.7143","0.3333","0.5714"
"Identify which animal species is alive or extinct: Great White Shark, Patagotitan","Alive or extinct: Great White Shark, Patagotitan","16","11","0.69","0.7368","0.7059","0.7368"
"What is single-cell sequencing?","Define single-cell sequencing.","6","5","0.83","0.6667","0.5714","0.6667"
"what are different types of phrases","what are different types of phrases","6","6","1.0","1.0","1.0","1.0"
"Based on this text, extract the characters Farley performed in a bulleted list.","From this text, list in bullets the characters Farley performed.","17","13","0.76","0.7826","0.381","0.5217"
"Given this paragraph about a country, what is the most populous Spanish-speaking country?","From this country paragraph, name the most populous Spanish-speaking country.","16","13","0.81","0.72","0.4348","0.64"
"What institutions make up the Ivy League?","Ivy League member schools?","8","6","0.75","0.3636","0.2222","0.3636"
"What are some of the best fantasy novels of all time?","Best fantasy novels of all time?","12","7","0.58","0.7059","0.6667","0.7059"
"Why is Stephen Curry the best player in the NBA?","Why is Stephen Curry the NBA's best player?","11","10","0.91","0.8421","0.7059","0.7368"
"What are seven different sources of protein that vegetarians can eat?","List seven vegetarian protein sources.","13","6","0.46","0.5","0.0","0.25"
"I've started doing individual training to get fit and now I'd like to learn a team sport, which of these are team sports? hockey, yoga, baseball, basketball, netball, running, handball, weightlifting, and ballet.","Training solo to get fit; want a team sport. Which of these are team sports: hockey, yoga, baseball, basketball, netball, running, handball, weightlifting, ballet?","47","39","0.83","0.7458","0.6316","0.7458"
"Extract the teams that Ayrton Senna raced during his Formula One career. Separate them with a comma.","Comma-separate Ayrton Senna's F1 teams.","21","12","0.57","0.4167","0.0909","0.1667"
"Which NFL teams have gone to the Super Bowl at least once but have never won a Super Bowl title?","NFL teams that reached the Super Bowl but never won.","21","11","0.52","0.5333","0.2857","0.5333"
"What is the oldest incorporated academy in the united states, with multiple u.s. presidents as alumni?","Oldest incorporated academy in the U.S. with multiple U.S. presidents as alumni?","20","18","0.9","0.7742","0.6897","0.7742"
"Why Bengalis are famous for","Why Bengalis are famous for","6","6","1.0","1.0","1.0","1.0"
"What does it mean for a function to be computable?","What is a computable function?","12","7","0.58","0.5333","0.0","0.4"
"Write a whimsical and funny horoscope reading that makes a baseball reference","Whimsical, funny horoscope with a baseball reference.","12","11","0.92","0.6316","0.3529","0.6316"
"What are some common mushrooms used in cooking?","Common mushrooms for cooking?","9","5","0.56","0.5","0.2","0.5"
"Tell me whether these are assets or liabilities: Cash, Accounts Receivables, Deferred Commissions, Prepaid Expenses, Long-term Investments, Property Plant & Equipment, Operating lease right-of-use assets, Goodwill, Intangible Assets, Accounts Payable, Accrued Expenses, Operating Lease Liabilities, Deferred Revenue","Classify as asset or liability: Cash, Accounts Receivables, Deferred Commissions, Prepaid Expenses, Long-term Investments, Property Plant & Equipment, Operating lease right-of-use assets, Goodwill, Intangible Assets, Accounts Payable, Accrued Expenses, Operating Lease Liabilities, Deferred Revenue","63","61","0.97","0.9067","0.9041","0.9067"
"Who is the singer in Bon Iver?","Bon Iver singer?","9","5","0.56","0.6","0.25","0.4"
"Given this paragraph about South Korea, which body of water forms the country's western border and which body of water borders it's eastern border?","From the South Korea paragraph, name the western border water and the eastern border water.","26","17","0.65","0.5366","0.1538","0.3902"
"Who created Final Fantasy?","Final Fantasy creator?","5","4","0.8","0.5714","0.4","0.5714"
"From the passage identify the type of medications used to treat infections. Display the results in comma separated format.","From the passage, identify infection-treating medication types; output as comma-separated list.","21","18","0.86","0.625","0.2667","0.4375"
"Given the paragraph around Star Trek starships, which is the fastest.","Star Trek starships paragraph: which is fastest?","14","10","0.71","0.7778","0.375","0.6667"
"Based on this paragraph about dogs, what is a French Bulldog?","From this dog paragraph, what is a French Bulldog?","13","11","0.85","0.8","0.4444","0.7"
"What are some common peer-to-peer money transfer apps in the United States?","Common P2P money transfer apps in the U.S.?","15","12","0.8","0.5217","0.381","0.5217"
"How do you train for a half marathon?","Half marathon training plan?","9","5","0.56","0.5","0.2","0.3333"
"The classis horror the Shining exterior shots were shot at this location:","Where were the exterior shots of the classic horror The Shining filmed?","15","14","0.93","0.5833","0.2727","0.3333"
"Who was the first United States president to be indicted in court in the State of New York","Who was the first U.S. president indicted in a New York court?","18","15","0.83","0.6452","0.3448","0.5806"
"Where was the 11th BRICS held?","Where was the 11th BRICS held?","10","10","1.0","1.0","1.0","1.0"
"What is following the file format Delta Lake follows to write records? CSV, JSON, PARQUET, AVRO, ORC","Delta Lake writes records in which format? CSV, JSON, PARQUET, AVRO, ORC","26","21","0.81","0.6897","0.4444","0.6207"
"What is the most dangerous motorcycle race in the world?","World's most dangerous motorcycle race?","11","7","0.64","0.625","0.4286","0.5"
"Does parallel universe really exist?","Does parallel universe really exist?","6","6","1.0","1.0","1.0","1.0"
"What are some best practices to keep car tires from losing tread prematurely","Best practices to prevent premature tire tread wear?","13","9","0.69","0.5714","0.2105","0.4762"
"Extract the steps to resolve a given supervised machine learning problem from the following text","Extract steps to solve a supervised ML problem from the following text.","15","13","0.87","0.7407","0.4","0.7407"
"What is the best time of the year to visit Paris?","Best time to visit Paris?","12","6","0.5","0.625","0.4286","0.625"
"What makes plants grow faster?","What makes plants grow faster?","6","6","1.0","1.0","1.0","1.0"
"Who where the San Diego Stingrays","Who where the San Diego Stingrays","8","8","1.0","1.0","1.0","1.0"
"How far did Oskar Dillon kick in the winning goal at the NPL Queensland championship?","Distance of Oskar Dillon's winning-goal kick in the NPL Queensland championship?","18","17","0.94","0.7143","0.5385","0.5714"
"What is the depth of focus of a camera?","Depth of focus of a camera?","10","7","0.7","0.8","0.7692","0.8"
"What some ways you can cook a steak?","Ways to cook a steak?","9","6","0.67","0.6154","0.3636","0.6154"
"How do you tell a story with data?","How to tell a story with data?","9","8","0.89","0.8","0.6154","0.8"
"What architecture does GPT use?","GPT architecture?","6","3","0.5","0.5714","0.0","0.2857"
"What is the volume of a rectangular prism","Volume of a rectangular prism?","8","6","0.75","0.7692","0.7273","0.7692"
"Name five surf spots on the North Shore of Oahu in Hawaii","Name five surf spots on the North Shore of Oahu in Hawaii","13","13","1.0","1.0","1.0","1.0"
"What is an LCR circuit?","LCR circuit definition?","7","5","0.71","0.5","0.3333","0.5"
"Which of these items are clothing brands and which are banks: Levi’s, Gap, Goldman Sachs,  Banana Republic, JP Morgan Chase, Seven, and Guess.","Classify items as clothing brands or banks: Levi’s, Gap, Goldman Sachs, Banana Republic, JP Morgan Chase, Seven, Guess.","33","28","0.85","0.7442","0.5854","0.7442"
"What is ""Six Feet Under""?","What is Six Feet Under?","7","6","0.86","1.0","1.0","1.0"
"Which characters belong to DC or Marvel Universe? Silver Surfer, Martian Manhunter","DC or Marvel? Silver Surfer, Martian Manhunter","17","12","0.71","0.7368","0.5882","0.7368"
"Classify each of these as either motorcycle brands or car brands: Maruti Suzuki, Ducati, Triumph, Royal Enfield, Harley Davidson,  Mahindra, Tata, Skoda, Honda, Toyota, Hero, TVS, Yamaha, Suzuki, Kawasaki, Volkswagen, Ferrari, Lamborgini, Volvo, Rolls royce, Bajaj, Kia, Hyundai, Ford, Chevrolet, Crystler, Fiat, Hummer, Citreon, KTM","Classify each item as motorcycle brand or car brand: Maruti Suzuki, Ducati, Triumph, Royal Enfield, Harley Davidson, Mahindra, Tata, Skoda, Honda, Toyota, Hero, TVS, Yamaha, Suzuki, Kawasaki, Volkswagen, Ferrari, Lamborgini, Volvo, Rolls royce, Bajaj, Kia, Hyundai, Ford, Chevrolet, Crystler, Fiat, Hummer, Citreon, KTM","90","87","0.97","0.9545","0.907","0.9545"
"Who won the Men's Madison at the 2018 UCI Track Cycling World Championships?","2018 UCI Track Cycling World Championships Men's Madison winner?","17","12","0.71","0.75","0.6364","0.5"
"Identify which instrument is string or percussion: Tumdak, Tati","String or percussion: Tumdak, Tati","13","9","0.69","0.7143","0.6667","0.7143"
"How long did the Henry Holst String Quartet last with its original group of members based on this text? Explain your work.","Duration of Henry Holst String Quartet with original members per the text; show work.","25","17","0.68","0.6111","0.1765","0.5"
"Tell me more about congratulatory message.","More about congratulatory message.","8","6","0.75","0.8","0.75","0.8"
"In the series A Song of Ice and Fire, who is the founder of House Beesbury?","Who founded House Beesbury in ASOIAF?","19","11","0.58","0.3636","0.1","0.2727"
"Based on the provided passage, extract the main reason that the Rocky Mountain Locust went extinct.","From the passage, identify the main reason for the Rocky Mountain Locust extinction.","19","16","0.84","0.6897","0.3704","0.6897"
"Angelo Scicilano better know as who","Angelo Scicilano better know as who","10","10","1.0","1.0","1.0","1.0"
"What is Debezium?","What is Debezium?","6","6","1.0","1.0","1.0","1.0"
"Did Elon Musk create Tesla","Did Elon Musk create Tesla","5","5","1.0","1.0","1.0","1.0"
"Given this paragraph on Mercury-Redstone 1, how many people were on the MR-1 when the launched failed, and when was the launch?","From this Mercury-Redstone 1 paragraph, how many people were on MR-1 when the launch failed, and when was the launch?","31","29","0.94","0.913","0.7273","0.8696"
"How did George II die","How did George II die","5","5","1.0","1.0","1.0","1.0"
"Identify which instrument is string or percussion: Singing bowl, Kibangala","String or percussion: Singing bowl, Kibangala","14","10","0.71","0.75","0.7143","0.75"
"What is Angular?","What is Angular?","4","4","1.0","1.0","1.0","1.0"
"Which is an imperial or a metric measurement: gallon, litre","Imperial or metric: gallon, litre?","12","9","0.75","0.6667","0.3077","0.6667"
"Write the synopsis for a spy thriller book.  The story should a team of experts in many various domains of science and technology, all working together to solve a potential global crisis.  Leave the synopsis with a cliff-hanger question.","Write a spy-thriller synopsis about a diverse team of science/tech experts collaborating to avert a potential global crisis, ending with a cliffhanger question.","47","31","0.66","0.5538","0.254","0.4923"
"Tell me which Taylor Swift album these songs are from: Love Story, Bad Blood, Begin Again, Cornelia Street.","Which Taylor Swift albums are these songs from: Love Story, Bad Blood, Begin Again, Cornelia Street?","24","22","0.92","0.9412","0.75","0.8824"
"Tell me whether these cities are in Spain or France: Pamplona, Valencia, Nice, Marseille, Paris, Sevilla","Spain or France for these cities: Pamplona, Valencia, Nice, Marseille, Paris, Sevilla.","24","21","0.88","0.7857","0.6154","0.6429"
"Extract the names of the teams Bennie John Reiges was a part of from the text. Separate them with a comma.","List Bennie John Reiges' teams from the text, comma-separated.","25","15","0.6","0.5806","0.2759","0.4516"
"How many cycling world championships has Peter Sagan won?","How many cycling world championships has Peter Sagan won?","11","11","1.0","1.0","1.0","1.0"
"When was Franz Kafka born and who was he?","Franz Kafka: birth date and bio.","10","9","0.9","0.4","0.1538","0.4"
"From this paragraph about Taylor Swift, how many AMAs has she won.","From this paragraph about Taylor Swift, how many AMAs has she won.","15","15","1.0","1.0","1.0","1.0"
"Write a letter I can send to the company that installed my swimming pool. Explain to them that the pool has two leaks and that I'd like to make a warranty claim. Request a reply within the next 30 days.","Letter to pool installer: explain two leaks, file warranty claim, request reply within the next 30 days.","44","22","0.5","0.5517","0.2857","0.5172"
"Write me a text to someone I work with asking them to cover my shift because I got sick. Use a polite tone.","Draft a polite text to my coworker asking them to cover my shift because I'm sick.","25","18","0.72","0.65","0.4737","0.6"
"What artists made up the supergroup The Traveling Wilburys?","Who were the members of The Traveling Wilburys?","13","11","0.85","0.4706","0.2667","0.4706"
"Classify each of these as a type of instrument or a type of school subject: Mathematics, Saxophone, french horn, history, physical education, Oboe, science, drums, geography, flute, tuba","Classify as instrument or school subject: Mathematics, Saxophone, french horn, history, physical education, Oboe, science, drums, geography, flute, tuba","44","35","0.8","0.8085","0.6667","0.8085"
"What are the strongest mobs in the online game called Minecraft?","Strongest mobs in Minecraft?","12","6","0.5","0.5333","0.3077","0.5333"
"What were the key points of the Treaty of Versailles?","Key points of the Treaty of Versailles?","11","8","0.73","0.8235","0.8","0.8235"
"Which of the following is a type of pasta: lasagna, sushi, or burrito?","Which is a type of pasta: lasagna, sushi, burrito?","19","15","0.79","0.8182","0.6","0.8182"
"Given this paragraph about marathon, what is the distance covered in kilometres and what are the most common ways to complete one?","From this marathon paragraph, what is the distance in kilometres and the most common ways to complete one?","24","20","0.83","0.85","0.5789","0.8"
"Based on the following passage what is the more dominant force in the universe?","Based on the passage, which force dominates the universe?","15","11","0.73","0.6957","0.2857","0.6087"
"What is the answer to two plus two","What is 2+2?","8","7","0.88","0.3333","0.2","0.3333"
"Extract all the names of people that Betty worked with from the text.","Extract all names of people Betty worked with from text.","14","11","0.79","0.8696","0.5714","0.8696"
"What is discrete manufacturing?","Discrete manufacturing?","5","3","0.6","0.6667","0.5","0.6667"
"Classify each of the following as being related to Google or Microsoft: Xbox, Waymo, Surface Pro, Youtube, Bing, Chrome","Classify as Google or Microsoft: Xbox, Waymo, Surface Pro, Youtube, Bing, Chrome","27","20","0.74","0.7742","0.6207","0.7742"
"which countries has the most diverse food?","Countries with the most diverse food?","8","7","0.88","0.7692","0.5455","0.7692"
"How is Japan written in Japanese?","How is Japan written in Japanese?","7","7","1.0","1.0","1.0","1.0"
"What are six different corporations with orange logos?","Name six corporations with orange logos.","9","7","0.78","0.7143","0.5","0.7143"
"What's the relationship of Chinese and Japanese","Relationship between Chinese and Japanese?","7","6","0.86","0.6154","0.3636","0.6154"
"To which family belongs the Caltha scaposa","Caltha scaposa family?","10","7","0.7","0.6","0.25","0.4"
"What is the great depression?","Explain the Great Depression.","6","5","0.83","0.6667","0.5714","0.6667"
"What is a quark?","Define quark.","6","4","0.67","0.3333","0.0","0.3333"
"Identify which instrument is string or woodwind: Guitaro, Tromboon","Identify which instrument is string or woodwind: Guitaro, Tromboon","16","16","1.0","1.0","1.0","1.0"
"How many days is enough to vacation in Belgium?","How many days to vacation in Belgium?","10","8","0.8","0.875","0.7143","0.875"
"Tell me whether these are alcoholic drinks or non-alcoholic drinks: soda, wine, milk, beer, fruit juice, sparkling water, vodka, tequila","Classify as alcoholic or non-alcoholic: soda, wine, milk, beer, fruit juice, sparkling water, vodka, tequila.","31","28","0.9","0.7568","0.6286","0.7568"
"What is the difference between alligator and a crocodile","Difference between alligator and crocodile?","11","8","0.73","0.7143","0.5","0.7143"
"What is Caracas?","Explain Caracas.","4","3","0.75","0.4","0.0","0.4"
"What is one of the first recorded mentions of the sauna in Finnish literature?","What is one of the earliest mentions of the sauna in Finnish literature?","15","14","0.93","0.8889","0.8","0.8889"
"Write a fairly boring short story about making coffee in the morning.","Write a fairly boring short story about making morning coffee.","13","11","0.85","0.9091","0.7","0.8182"
"Tell me whether these are movies or books: Jurassic, Harry Potter and the Philosopher's Stone, Angels and Demons","Jurassic; Harry Potter and the Philosopher's Stone; Angels and Demons — movie or book?","24","21","0.88","0.8485","0.7742","0.6667"
"What is the Rogue Fitness suitecase challenge?","Rogue Fitness suitcase challenge?","9","6","0.67","0.5455","0.2222","0.5455"
"What creates moon phases and how is it different from an eclipse?","What creates moon phases and how is it different from an eclipse?","13","13","1.0","1.0","1.0","1.0"
"What is the plot of the movie above suspicion","Plot of the movie Above Suspicion.","9","8","0.89","0.8","0.7692","0.8"
"What are some important devices you would see in a kitchen? And what are they used for?","List important kitchen devices and their uses.","19","8","0.42","0.4167","0.0","0.3333"
"Classify the following numbers as 'odd' or 'even' - 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16.","Classify as 'odd' or 'even': 1-16.","62","15","0.24","0.4516","0.2759","0.4516"
"Why do kids love peppa pig?","Why do kids love peppa pig?","8","8","1.0","1.0","1.0","1.0"
"What is flying trapeze?","Flying trapeze definition.","6","5","0.83","0.5714","0.4","0.5714"
"Write a press release declaring the availability of IronChef, a cooking robot that can create various dishes in 5 cuisines. Be sure to mention some of its advanced technological features.","Write a press release announcing IronChef, a cooking robot, now available; creates dishes in 5 cuisines; mention its advanced tech features.","35","28","0.8","0.7059","0.4082","0.6667"
"What kind of animal is the Iolaus crawshayi","What animal is Iolaus crawshayi?","12","10","0.83","0.7692","0.3636","0.7692"
"Is it possible to live life without having to use a door?","Can you live without using a door?","13","8","0.62","0.5263","0.2353","0.5263"
"Identify which animal species is alive or extinct: Repenomamus, Jaguar","Alive or extinct: Repenomamus, Jaguar","15","10","0.67","0.6667","0.6154","0.6667"
"What is a Delta Lake?","Delta Lake definition?","6","4","0.67","0.5","0.3333","0.5"
"Who is LaVelle Smith Jr.?","Who is LaVelle Smith Jr.?","8","8","1.0","1.0","1.0","1.0"
"Describe a trip to Tokyo. What should I be prepared for? What should I eat? Any can't-miss attractions?","Describe a Tokyo trip: prep, food, must-see attractions.","24","13","0.54","0.3448","0.0741","0.2759"
"Which is an imperial or a metric measurement: ounce, gram","Imperial or metric: ounce, gram","12","8","0.67","0.6667","0.3077","0.6667"
"Give me a list of the five famous things to see in Nepal","List five famous sights in Nepal.","13","7","0.54","0.5263","0.2353","0.5263"
"Why do cloud service providers need to be FedRAMP authorized if they want to do business with U.S. federal agencies?","Why must CSPs be FedRAMP-authorized to work with U.S. federal agencies?","25","19","0.76","0.5882","0.375","0.5882"
"Which is a species of fish? Soldierfish or Soldier Boy","Which is a species of fish? Soldierfish or Soldier Boy","12","12","1.0","1.0","1.0","1.0"
"When is an object considered a planet?","What defines a planet?","8","5","0.62","0.3636","0.2222","0.3636"
"Pulitzer Prize 2022 was given for the coverage of the","Pulitzer Prize 2022 awarded for coverage of","13","10","0.77","0.7059","0.4","0.7059"
"Give me a brief summary of the spanish civil war","Brief summary of the Spanish Civil War.","10","8","0.8","0.8235","0.8","0.8235"
"Who designed the South African Class 15E 4-8-2 locomotive?","Who designed SA Class 15E 4-8-2 locomotive?","17","15","0.88","0.8","0.6667","0.8"
"What are all the positions in hockey?","List all hockey positions.","8","5","0.62","0.5455","0.0","0.3636"
"List all the planets in our solar system with more than one moon.","List solar-system planets with more than one moon.","14","10","0.71","0.8182","0.5","0.7273"
"How many times did Jorge compete in the Olympics?","How many Olympic appearances did Jorge have?","10","8","0.8","0.625","0.2857","0.5"
"What are easy desserts I can make at home?","Easy desserts I can make at home?","10","8","0.8","0.875","0.8571","0.875"
"What is the difference between acoustic and classical guitar?","Difference between acoustic and classical guitar?","10","7","0.7","0.8","0.7692","0.8"
"Who is Tina Turner","Who is Tina Turner","4","4","1.0","1.0","1.0","1.0"
"Write a friendly, convincing e-mail to my landlord asking whether I can get a dog.","Write a friendly, convincing e-mail to my landlord requesting permission to own a dog.","18","17","0.94","0.7097","0.6207","0.7097"
"Tell me if these teams are in or out of the NBA Playoffs for this year, Orlando Magic, Detroit Pistons, Boston Celtics, Dallas Mavericks, and Phoenix Suns","NBA Playoffs status this year for: Orlando Magic, Detroit Pistons, Boston Celtics, Dallas Mavericks, Phoenix Suns (in/out).","34","27","0.79","0.7556","0.4651","0.6222"
"What are financial services?","Explain financial services.","5","4","0.8","0.5714","0.4","0.5714"
"Given this passage from wikipedia about the attributes of Japanese Anime, summarize the key differences between Japanese anime and other forms of animation","From a Wikipedia passage on Japanese anime attributes, summarize the key differences between Japanese anime and other animation.","24","20","0.83","0.7805","0.4615","0.6829"
"Given these paragraphs about battery storage power stations, what was the levelized cost of electricity from battery storage as of 2020?","Given these paragraphs about battery storage power stations, what was the levelized cost of electricity from battery storage as of 2020?","26","26","1.0","1.0","1.0","1.0"
"Q: How can I prevent COVID-19?","How to prevent COVID-19?","10","7","0.7","0.6667","0.4","0.6667"
"Where are Vermeer's paintings set","Where are Vermeer paintings set","7","6","0.86","0.9091","0.6667","0.9091"
"The quit India movement is also known as","Quit India Movement also known as?","8","7","0.88","0.8571","0.6667","0.8571"
"How do you jump start a car?","How to jump-start a car?","8","7","0.88","0.7692","0.5455","0.7692"
"Based on the following passage in which months of the year are storms most common in the North Indian basin?","Based on the following passage, which months have the most storms in the North Indian basin?","21","18","0.86","0.8333","0.5294","0.7778"
"What is the best way to talk to a teenager about sex","Best way to talk to a teen about sex","12","9","0.75","0.7619","0.6316","0.7619"
"Where can I buy leather pants for women?","Where to buy women's leather pants?","9","7","0.78","0.6667","0.1538","0.5333"
"What was the duration of the Lewis and Clark Expedition?","Lewis and Clark Expedition duration?","11","6","0.55","0.6667","0.4615","0.5333"
"Identify which car manufacturer is Italian or American: Fiat, Dodge","Fiat or Dodge: which is Italian or American?","12","11","0.92","0.7778","0.375","0.5556"
"How does on prepare for interviews at consulting firms?","How to prepare for consulting firm interviews?","10","8","0.8","0.75","0.2857","0.625"
"Where did Christopher Columbus sail his ship when he discovered America?","Where did Christopher Columbus sail to discover America?","12","9","0.75","0.7368","0.5882","0.7368"
"What are the benefits of a water rower machine?","Water rower benefits?","11","5","0.45","0.5","0.2","0.3333"
"How do you cook beef short ribs?","How to cook beef short ribs?","8","7","0.88","0.7692","0.5455","0.7692"
"Make me a list of the oldest board games that I might not know about, and where they were invented.","List obscure oldest board games and where they were invented.","22","11","0.5","0.6","0.4286","0.6"
"Suggest some action movies I can watch?","Suggest action movies I can watch?","8","7","0.88","0.9231","0.7273","0.9231"
"What is a mainframe?","Define mainframe.","6","4","0.67","0.3333","0.0","0.3333"
"Can you tell me about the Chicago Blackhawks?","Tell me about the Chicago Blackhawks.","10","8","0.8","0.8571","0.8333","0.8571"
"What is elite shungite?","Elite shungite definition?","7","6","0.86","0.5714","0.4","0.5714"
"What is the Sun?","What is the Sun?","5","5","1.0","1.0","1.0","1.0"
"Is Gillian Anderson an English actress?","Is Gillian Anderson English?","8","6","0.75","0.8","0.5","0.8"
"How do you make a good cappuccino?","How to make a good cappuccino?","9","8","0.89","0.7692","0.5455","0.7692"
"What are some good date ideas for vegans?","Vegan date ideas?","10","5","0.5","0.5455","0.2222","0.3636"
"What is the difference between the Scala Future onComplete and andThen functions?","Scala Future onComplete vs andThen difference?","15","9","0.6","0.5556","0.25","0.4444"
"Give me a list of the five best selling consoles of all time with amount of units sold","Top 5 selling consoles of all time, units sold.","18","12","0.67","0.5185","0.4","0.5185"
"How old is the Earth?","Earth's age?","6","4","0.67","0.25","0.0","0.25"
"What were the first ten states to enter the union of the United States?","Which were the first ten states admitted to the Union?","15","11","0.73","0.6667","0.4545","0.6667"
"Give me a list of the best breakfast foods I've never tried","List best breakfast foods I haven't tried.","12","8","0.67","0.5714","0.3158","0.5714"
"What is a clique in graph theory?","Define clique in graph theory.","8","6","0.75","0.6667","0.6","0.6667"
"Based on this passage, please extract a bulleted list of the factors of GPU's constructions that enter into the performance of the card for real-time rendering.","From this passage, provide a bulleted list of GPU construction factors affecting the card's real-time rendering performance.","31","22","0.71","0.6809","0.3556","0.5532"
"What is the official bird of the State of Hawaii?","Hawaii's official state bird?","11","7","0.64","0.5333","0.0","0.2667"
"What are some top ski resorts to visit if I live in SF bay area?","Top ski resorts near the SF Bay Area?","16","9","0.56","0.5217","0.381","0.5217"
"Given the following paragraph about Latin Text, what does ""Dona nobis pacem"" mean in English?","From the Latin Text paragraph, what does 'Dona nobis pacem' mean in English?","21","19","0.9","0.8571","0.6154","0.7857"
"What is the best way to respond to proposed edits in a contract?","Best way to respond to proposed edits in a contract?","14","11","0.79","0.8696","0.8571","0.8696"
"What is Gobekli Tepe?","Explain Gobekli Tepe.","8","7","0.88","0.5714","0.4","0.5714"
"Does a Tesla work well in Michigan?","Tesla in Michigan works well?","8","6","0.75","0.8333","0.4","0.5"
"Extract who developed Age of Empires 2 and the year it was released from the following text and separate them with a comma","From the following text, extract the developer of Age of Empires II and its release year, separated by a comma.","25","24","0.96","0.7442","0.2927","0.4651"
"what is philosophy?","Define philosophy.","4","3","0.75","0.4","0.0","0.4"
"Extract 3 areas based on the following passage where electronics is widely used.","Extract 3 areas from the passage where electronics is widely used.","15","13","0.87","0.8333","0.6364","0.8333"
"Who is Osama bin Laden?","Who is Osama bin Laden?","7","7","1.0","1.0","1.0","1.0"
"Classify each of the following as an instrument or tool: screw driver, guitar, trumpet, chisel, tuba, wrench","Classify each of the following as an instrument or tool: screw driver, guitar, trumpet, chisel, tuba, wrench","26","26","1.0","1.0","1.0","1.0"
"List the three first books written by Dan Brown, in chronological order and bullet point, using the format {book title} ({year published})","List Dan Brown's first three novels chronologically, bullet points, format {Book Title} ({Year}).","28","21","0.75","0.6667","0.2941","0.5556"
"What are your three favorite Martin Scorsese  films","List your three favorite Martin Scorsese films.","11","10","0.91","0.8","0.7692","0.8"
"How much has the population of Puerto Rico been growing?","Puerto Rico population growth rate?","11","6","0.55","0.4","0.1538","0.2667"
"In computer science, where did the term big-endian originate?","Origin of the big-endian term in computer science?","13","11","0.85","0.8421","0.3529","0.3158"
"What is Barbacoa?","Barbacoa definition?","6","5","0.83","0.4","0.0","0.4"
"What was Goff's best game mentioned in the text?","Goff's best game mentioned in the text?","12","10","0.83","0.8889","0.875","0.8889"
"From the given text, Write some important points about song ""Sunshine, Lollipops and Rainbows""","From the given text, list key points about 'Sunshine, Lollipops and Rainbows'.","23","21","0.91","0.7692","0.5833","0.7692"
"Based on this passage, please extract the names of the countries where TSMC has semiconductor fabrication (or ""fab"") facilities and separate them by commas.","From this passage, list countries with TSMC fabs, separated by commas.","31","16","0.52","0.4571","0.1212","0.4571"
"Where can set theory be applied?","Applications of set theory?","7","5","0.71","0.4","0.25","0.4"
"What is a tri-state area?","Define tri-state area.","7","5","0.71","0.6","0.5","0.6"
"here is a blurb about the 98th Illinois General Assembly, what were the notable laws that were passed?","98th Illinois General Assembly blurb: what notable laws were passed?","23","14","0.61","0.7143","0.3846","0.6429"
"When did Hawaii become a state?","Hawaii statehood date?","7","6","0.86","0.2222","0.0","0.2222"
"Which country won the most recent soccer world cup?","Who won the latest FIFA World Cup?","10","8","0.8","0.5","0.2857","0.5"
"Are these hockey or baseball teams: Red Wings, Padres, Blues, Capitals","Hockey or baseball teams: Red Wings, Padres, Blues, Capitals","15","14","0.93","0.9","0.8889","0.9"
"What are the primary benefits of sending my child to daycare?","Primary benefits of daycare for my child?","12","8","0.67","0.6667","0.375","0.5556"
"Tell me whether these animals are domesticated or not domesticated: cats, sheep, bald eagle, whale, dog, bat","Are these domesticated or not: cats, sheep, bald eagle, whale, dog, bat","25","19","0.76","0.8276","0.5926","0.7586"
"What is so fragile that saying its name breaks it?","What is so fragile that saying its name breaks it?","11","11","1.0","1.0","1.0","1.0"
"Where did Anne Frank live after her family fled Germany?","Where did Anne Frank live after her family fled Germany?","11","11","1.0","1.0","1.0","1.0"
"What is separation anxiety in dogs?","Dog separation anxiety definition?","7","5","0.71","0.6","0.25","0.4"
"What is the largest living thing?","Largest living thing?","7","4","0.57","0.6667","0.5714","0.6667"
"What are some examples of countries to visit for an amazing culinary experience?","Countries to visit for amazing culinary experiences?","14","8","0.57","0.7","0.5556","0.7"
"List the club sports teams that Neumann University has","List Neumann University club sports teams","10","7","0.7","0.8","0.4615","0.5333"
"Bikes are very diverse and have different geometries based on your riding styles. For example a road bike will have a forward leaning geometry and a mountain bike will be more upright. Furthermore you will consider the components and parts that are worth paying for. Bikes can be really expensive for features you may or may not use. Consider buying a base frame with the right geometry and then customizing parts like shocks or handlebars for your specific needs. There are many brands that carry stock frames and demoing a few will really help you understand the one that works for your body structure and application.","Bike diversity: geometry by riding style (road = forward-leaning; mountain = upright). Components worth paying for; avoid features you may not use. Strategy: base frame with correct geometry, then customize parts (shocks, handlebars). Brands offer stock frames; demo several to find frames that fit your body and application.","115","65","0.57","0.4837","0.1987","0.4837"
"Based on the reference text about McDonalds, tell me what year it was founded, how many daily customers they have, and their best selling product.","From the McDonalds reference text, give founding year, daily customers, and best-selling product.","30","19","0.63","0.6154","0.2162","0.5128"
"How do formula one cars generate downforce?","How do formula one cars generate downforce?","9","9","1.0","1.0","1.0","1.0"
"List the five most important quick keys on a PC","List 5 most important PC keyboard shortcuts","10","8","0.8","0.4706","0.1333","0.4706"
